asset_name,asset_type_name,model_number,serial_number,asset_tag,qr_code,item_value,item_value_currency_code,purchase_cost,purchase_cost_currency_code,purchase_type_name,purchase_order_number,other_purchase_details,supplier_data,salvage_value,warranty,warranty_condition_type_name,warranty_expiry_date,warranty_usage_name,warranty_usage_value,insurance_number,insurance_expiry_date,expected_life_time,expected_life_time_unit_name,depreciation_value,depreciation_method_name,depreciation_start_date,decline_rate,total_estimated_units,manufacturer,responsible_person_name,department_name,latitude,longitude,received_condition_id,asset_category_name,asset_sub_category_name,asset_tags
Asset 0011,Operating assets,HP-MODEL-00011,SN-0000000011,TAG-000011,,2077.98,EUR,1876.22,USD,Rent,PO-2025-9218,Purchase details for Asset 0011,"{""name"":""Dell Direct"",""email"":""sales@dell.com"",""type"":""Company""}",295.21,4 years,Usage based,2029-05-07,Cycles,44494,INS000011,2028-01-28,4,Hour,445.69,Units of Production,2024-09-08,18.83,42,Cisco Systems,ffd,Negombo test,7.3314,80.4375,5,Software,Routers,"Network,High Priority,Maintenance"
Asset 0012,Tangible assets,DELL-MODEL-00012,SN-0000000012,TAG-000012,,4087.24,EUR,3822.67,USD,Hire,PO-2025-9009,Purchase details for Asset 0012,"{""name"":""Cisco Systems"",""email"":""sales@cisco.com"",""type"":""Company""}",477.71,3 years,Usage based,2029-12-20,Cycles,49864,INS000012,2027-05-10,6,Month,601.59,Straightline,2025-06-08,31.77,20,Dell Inc.,ffd,Negombo test,7.2628,80.1327,5,Software,Desktops,"Software,Low Priority,Standby"
Asset 0013,Intangible assets,HP-MODEL-00013,SN-0000000013,TAG-000013,,3548.9,LKR,3038.84,EUR,Lease,PO-2025-5290,Purchase details for Asset 0013,"{""name"":""Cisco Systems"",""email"":""sales@cisco.com"",""type"":""Company""}",476.21,1 years,Combined,2030-09-17,Cycles,6630,INS000013,2027-03-23,9,Year,341.41,Sum of the Years Digits,2025-01-08,20.41,59,Samsung,ffd,Negombo test,7.3353,79.5003,1,Machinery,Servers,"IT,Critical,Active"
Asset 0014,Tangible assets,LEN-MODEL-00014,SN-0000000014,TAG-000014,,3333.63,GBP,3018.84,USD,Purchase,PO-2025-6041,Purchase details for Asset 0014,"{""name"":""Tech Solutions Inc"",""email"":""contact@techsolutions.com"",""type"":""Company""}",379.28,1 years,Time based,2027-06-04,Cycles,7485,INS000014,2028-04-27,14,Month,211.03,Units of Production,2024-08-07,11.39,49,SAP,Chamod Randeni,Negombo test,7.0289,79.577,5,Machinery,Desktops,"Software,Low Priority,Standby"
Asset 0015,Operating assets,APPLE-MODEL-00015,SN-0000000015,TAG-000015,,1858.56,GBP,1622.14,GBP,Rent,PO-2025-8361,Purchase details for Asset 0015,"{""name"":""Apple Business"",""email"":""business@apple.com"",""type"":""Company""}",272.83,3 years,Time based,2027-09-22,Days,45444,INS000015,2027-01-18,14,Year,113.27,Sum of the Years Digits,2024-11-25,24.03,40,SAP,ffd,Negombo test,6.6899,79.703,3,Network Equipment,Tablets,"Network,High Priority,Maintenance"
Asset 0016,Intangible assets,DELL-MODEL-00016,SN-0000000016,TAG-000016,,3473.22,USD,3288.38,GBP,Rent,PO-2025-7205,Purchase details for Asset 0016,"{""name"":""Dell Direct"",""email"":""sales@dell.com"",""type"":""Company""}",407.04,1 years,Usage based,2028-08-29,Cycles,9861,INS000016,2028-04-22,13,Month,235.86,Sum of the Years Digits,2025-09-20,23.68,45,Oracle,ffd,Negombo test,7.426,79.7129,3,Machinery,Tablets,"Network,High Priority,Maintenance"
Asset 0017,Intangible assets,CISCO-MODEL-00017,SN-0000000017,TAG-000017,,1319.21,EUR,1128.34,USD,Rent,PO-2025-1679,Purchase details for Asset 0017,"{""name"":""Microsoft Corp"",""email"":""business@microsoft.com"",""type"":""Company""}",164.57,3 years,Time based,2027-07-14,Hours,37134,INS000017,2028-12-01,14,Day,82.47,Declining Balance,2024-10-17,12.14,50,IBM,Chamod Randeni,Negombo test,6.7565,79.5889,1,Network Equipment,Laptops,"Software,Low Priority,Standby"
Asset 0018,Operating assets,CISCO-MODEL-00018,SN-0000000018,TAG-000018,,6470.64,USD,6045.4,GBP,Lease,PO-2025-1762,Purchase details for Asset 0018,"{""name"":""HP Enterprise"",""email"":""enterprise@hp.com"",""type"":""Company""}",707.25,4 years,Usage based,2027-10-08,Kilometers,39097,INS000018,2028-04-30,7,Hour,823.34,Sum of the Years Digits,2024-05-21,35.66,38,Dell Inc.,ffd,Negombo test,6.6344,80.2375,4,Tools,Tablets,"IT,Critical,Active"
Asset 0019,Intangible assets,APPLE-MODEL-00019,SN-0000000019,TAG-000019,,4245.96,GBP,3674.22,GBP,Lease,PO-2025-5396,Purchase details for Asset 0019,"{""name"":""Microsoft Corp"",""email"":""business@microsoft.com"",""type"":""Company""}",502.33,5 years,Usage based,2030-03-21,Kilometers,2842,INS000019,2028-09-13,4,Month,935.91,Straightline,2025-01-17,25.42,41,HP Inc.,ffd,Negombo test,7.1487,79.7602,2,Software,Servers,"IT,Critical,Active"
Asset 0020,Operating assets,HP-MODEL-00020,SN-0000000020,TAG-000020,,3649.87,GBP,3285.66,USD,Purchase,PO-2025-9785,Purchase details for Asset 0020,"{""name"":""HP Enterprise"",""email"":""enterprise@hp.com"",""type"":""Company""}",462.57,4 years,Time based,2030-10-18,Cycles,34889,INS000020,2027-01-08,8,Month,398.41,Sum of the Years Digits,2025-06-02,37.56,45,Lenovo,ffd,Negombo test,6.7038,80.4415,1,Electronics,Monitors,"Network,High Priority,Maintenance"
Asset 0021,Operating assets,DELL-MODEL-00021,SN-0000000021,TAG-000021,,6997.9,USD,6236.42,EUR,Lease,PO-2025-5947,Purchase details for Asset 0021,"{""name"":""HP Enterprise"",""email"":""enterprise@hp.com"",""type"":""Company""}",979.18,5 years,Time based,2027-10-12,Cycles,46453,INS000021,2027-11-08,15,Day,401.25,Straightline,2025-04-22,26.57,34,Cisco Systems,ffd,Negombo test,7.3147,80.3066,5,Furniture,Monitors,"Hardware,Standard,Reserve"
Asset 0022,Operating assets,LEN-MODEL-00022,SN-0000000022,TAG-000022,,1619.46,EUR,1475.76,USD,Hire,PO-2025-1336,Purchase details for Asset 0022,"{""name"":""Microsoft Corp"",""email"":""business@microsoft.com"",""type"":""Company""}",230.2,4 years,Usage based,2028-08-29,Days,45637,INS000022,2026-03-28,10,Day,138.93,Straightline,2025-07-28,12.73,86,Apple Inc.,ffd,Negombo test,7.1331,80.0947,5,Software,Routers,"Hardware,Standard,Reserve"
Asset 0023,Operating assets,APPLE-MODEL-00023,SN-0000000023,TAG-000023,,6770.41,GBP,5925.85,EUR,Rent,PO-2025-1122,Purchase details for Asset 0023,"{""name"":""HP Enterprise"",""email"":""enterprise@hp.com"",""type"":""Company""}",893.53,2 years,Combined,2029-08-12,Hours,22852,INS000023,2026-10-03,10,Day,587.69,Units of Production,2024-12-28,24.85,46,Apple Inc.,ffd,Negombo test,7.2885,80.4643,3,Network Equipment,Servers,"Hardware,Standard,Reserve"
Asset 0024,Operating assets,LEN-MODEL-00024,SN-0000000024,TAG-000024,,6222.79,LKR,5710.11,LKR,Lease,PO-2025-4341,Purchase details for Asset 0024,"{""name"":""Tech Solutions Inc"",""email"":""contact@techsolutions.com"",""type"":""Company""}",850.14,4 years,Time based,2028-08-27,Cycles,16375,INS000024,2027-08-04,14,Hour,383.76,Straightline,2024-11-17,35.48,76,HP Inc.,ffd,Negombo test,7.0761,79.8739,3,Machinery,Laptops,"Software,Low Priority,Standby"
Asset 0025,Tangible assets,DELL-MODEL-00025,SN-0000000025,TAG-000025,,1878.2,LKR,1669.27,USD,Rent,PO-2025-9155,Purchase details for Asset 0025,"{""name"":""HP Enterprise"",""email"":""enterprise@hp.com"",""type"":""Company""}",253.09,3 years,Usage based,2028-01-04,Cycles,49781,INS000025,2027-03-27,7,Hour,232.16,Sum of the Years Digits,2025-10-23,13.06,61,IBM,Chamod Randeni,Negombo test,6.564,79.9466,1,Furniture,Monitors,"Software,Low Priority,Standby"
Asset 0026,Intangible assets,HP-MODEL-00026,SN-0000000026,TAG-000026,,2978.63,EUR,2807.93,EUR,Lease,PO-2025-2298,Purchase details for Asset 0026,"{""name"":""Tech Solutions Inc"",""email"":""contact@techsolutions.com"",""type"":""Company""}",388.57,4 years,Time based,2030-02-26,Kilometers,3176,INS000026,2028-07-31,15,Year,172.67,Straightline,2025-09-18,28.98,71,Oracle,Chamod Randeni,Negombo test,6.5055,80.396,4,Furniture,Desktops,"IT,Critical,Active"
Asset 0027,Tangible assets,CISCO-MODEL-00027,SN-0000000027,TAG-000027,,2745.2,EUR,2508.74,EUR,Hire,PO-2025-1097,Purchase details for Asset 0027,"{""name"":""Tech Solutions Inc"",""email"":""contact@techsolutions.com"",""type"":""Company""}",351.56,5 years,Time based,2030-04-14,Days,23883,INS000027,2028-02-28,14,Year,170.97,Units of Production,2025-12-15,30.63,92,Dell Inc.,Chamod Randeni,Negombo test,7.2108,80.3512,4,IT Equipment,Tablets,"Hardware,Standard,Reserve"
Asset 0028,Tangible assets,APPLE-MODEL-00028,SN-0000000028,TAG-000028,,6137.53,EUR,5441.48,EUR,Hire,PO-2025-4224,Purchase details for Asset 0028,"{""name"":""Lenovo Enterprise"",""email"":""business@lenovo.com"",""type"":""Company""}",816.74,2 years,Time based,2027-10-29,Kilometers,14571,INS000028,2026-11-08,15,Year,354.72,Sum of the Years Digits,2025-09-23,28.49,85,Oracle,ffd,Negombo test,6.8617,80.2175,3,Network Equipment,Desktops,"Hardware,Standard,Reserve"
Asset 0029,Intangible assets,APPLE-MODEL-00029,SN-0000000029,TAG-000029,,4898.06,USD,4369.41,GBP,Hire,PO-2025-3832,Purchase details for Asset 0029,"{""name"":""Microsoft Corp"",""email"":""business@microsoft.com"",""type"":""Company""}",625.64,3 years,Usage based,2027-12-27,Days,5616,INS000029,2027-09-05,15,Month,284.83,Declining Balance,2024-01-04,29.71,14,Oracle,Chamod Randeni,Negombo test,6.9941,80.3631,5,Network Equipment,Monitors,"Software,Low Priority,Standby"
Asset 0030,Tangible assets,CISCO-MODEL-00030,SN-0000000030,TAG-000030,,9247.82,EUR,8592.8,LKR,Hire,PO-2025-1782,Purchase details for Asset 0030,"{""name"":""Cisco Systems"",""email"":""sales@cisco.com"",""type"":""Company""}",960.85,1 years,Time based,2030-03-30,Hours,19866,INS000030,2028-05-24,15,Year,552.46,Declining Balance,2025-10-30,18.69,47,HP Inc.,Chamod Randeni,Negombo test,6.705,79.6754,4,Network Equipment,Tablets,"IT,Critical,Active"
Asset 0031,Operating assets,APPLE-MODEL-00031,SN-0000000031,TAG-000031,,6280.65,USD,5778.72,USD,Rent,PO-2025-4795,Purchase details for Asset 0031,"{""name"":""Microsoft Corp"",""email"":""business@microsoft.com"",""type"":""Company""}",858.32,1 years,Usage based,2027-10-12,Kilometers,23646,INS000031,2026-12-17,15,Day,361.49,Straightline,2024-04-19,38.55,83,Oracle,Chamod Randeni,Negombo test,6.7824,79.5157,1,Network Equipment,Tablets,"Network,High Priority,Maintenance"
Asset 0032,Intangible assets,HP-MODEL-00032,SN-0000000032,TAG-000032,,3559.24,LKR,3317.23,USD,Lease,PO-2025-9731,Purchase details for Asset 0032,"{""name"":""Dell Direct"",""email"":""sales@dell.com"",""type"":""Company""}",493.91,3 years,Combined,2027-12-17,Kilometers,43419,INS000032,2028-09-27,15,Year,204.36,Declining Balance,2025-05-11,39.22,28,Microsoft,ffd,Negombo test,7.1634,79.7575,3,IT Equipment,Routers,"Hardware,Standard,Reserve"
Asset 0033,Operating assets,HP-MODEL-00033,SN-0000000033,TAG-000033,,3052.39,GBP,2849.6,LKR,Purchase,PO-2025-1024,Purchase details for Asset 0033,"{""name"":""Apple Business"",""email"":""business@apple.com"",""type"":""Company""}",438.29,2 years,Combined,2028-09-16,Hours,12870,INS000033,2028-08-12,10,Year,261.41,Units of Production,2024-07-01,28.91,25,Samsung,Chamod Randeni,Negombo test,7.1245,80.3256,2,Network Equipment,Desktops,"Hardware,Standard,Reserve"
Asset 0034,Operating assets,LEN-MODEL-00034,SN-0000000034,TAG-000034,,9647.05,LKR,8882.26,USD,Rent,PO-2025-1043,Purchase details for Asset 0034,"{""name"":""Dell Direct"",""email"":""sales@dell.com"",""type"":""Company""}",1375.03,1 years,Combined,2028-08-29,Cycles,39666,INS000034,2026-09-14,13,Day,636.31,Sum of the Years Digits,2024-08-23,37.06,32,Dell Inc.,Chamod Randeni,Negombo test,7.0412,79.7143,4,Tools,Laptops,"Network,High Priority,Maintenance"
Asset 0035,Intangible assets,HP-MODEL-00035,SN-0000000035,TAG-000035,,2254.51,GBP,2070.31,GBP,Lease,PO-2025-4832,Purchase details for Asset 0035,"{""name"":""Microsoft Corp"",""email"":""business@microsoft.com"",""type"":""Company""}",337.57,3 years,Usage based,2030-01-08,Cycles,47562,INS000035,2026-01-06,15,Hour,127.8,Straightline,2025-01-13,22.21,28,Apple Inc.,Chamod Randeni,Negombo test,7.3469,79.989,5,IT Equipment,Routers,"IT,Critical,Active"
Asset 0036,Intangible assets,APPLE-MODEL-00036,SN-0000000036,TAG-000036,,8461.28,LKR,7802.59,LKR,Purchase,PO-2025-5402,Purchase details for Asset 0036,"{""name"":""Apple Business"",""email"":""business@apple.com"",""type"":""Company""}",1196.98,4 years,Time based,2030-10-15,Kilometers,21334,INS000036,2027-11-06,11,Hour,660.39,Sum of the Years Digits,2024-09-29,29.19,47,SAP,Chamod Randeni,Negombo test,7.2858,80.1853,5,Software,Routers,"Network,High Priority,Maintenance"
Asset 0037,Operating assets,APPLE-MODEL-00037,SN-0000000037,TAG-000037,,9418.5,LKR,8278.1,LKR,Hire,PO-2025-1445,Purchase details for Asset 0037,"{""name"":""Dell Direct"",""email"":""sales@dell.com"",""type"":""Company""}",961.41,5 years,Combined,2029-12-27,Cycles,1629,INS000037,2027-05-11,6,Hour,1409.52,Declining Balance,2025-08-12,24.41,89,SAP,Chamod Randeni,Negombo test,7.3437,79.6655,1,Machinery,Routers,"Software,Low Priority,Standby"
Asset 0038,Tangible assets,DELL-MODEL-00038,SN-0000000038,TAG-000038,,3576.89,LKR,3178.98,GBP,Hire,PO-2025-6079,Purchase details for Asset 0038,"{""name"":""Apple Business"",""email"":""business@apple.com"",""type"":""Company""}",444.44,1 years,Combined,2030-07-28,Days,31484,INS000038,2027-02-23,14,Year,223.75,Units of Production,2024-09-02,27.5,75,HP Inc.,Chamod Randeni,Negombo test,7.0815,79.9738,1,Software,Monitors,"Network,High Priority,Maintenance"
Asset 0039,Tangible assets,LEN-MODEL-00039,SN-0000000039,TAG-000039,,5634.15,GBP,5134.78,GBP,Rent,PO-2025-7979,Purchase details for Asset 0039,"{""name"":""Cisco Systems"",""email"":""sales@cisco.com"",""type"":""Company""}",814.49,1 years,Combined,2030-11-15,Cycles,23373,INS000039,2027-04-04,12,Year,401.64,Units of Production,2024-08-07,23.32,79,Oracle,Chamod Randeni,Negombo test,6.6598,80.425,1,IT Equipment,Monitors,"Network,High Priority,Maintenance"
Asset 0040,Tangible assets,HP-MODEL-00040,SN-0000000040,TAG-000040,,9591.65,GBP,9003.56,EUR,Purchase,PO-2025-7501,Purchase details for Asset 0040,"{""name"":""Microsoft Corp"",""email"":""business@microsoft.com"",""type"":""Company""}",1290.45,1 years,Combined,2030-01-11,Kilometers,33871,INS000040,2026-04-14,5,Year,1660.24,Sum of the Years Digits,2024-02-21,17.65,34,SAP,Chamod Randeni,Negombo test,7.0482,80.0624,4,Machinery,Laptops,"IT,Critical,Active"
Asset 0041,Tangible assets,DELL-MODEL-00041,SN-0000000041,TAG-000041,,2758.08,USD,2469.71,LKR,Lease,PO-2025-8799,Purchase details for Asset 0041,"{""name"":""Dell Direct"",""email"":""sales@dell.com"",""type"":""Company""}",344.69,5 years,Combined,2028-11-11,Cycles,33669,INS000041,2028-10-14,12,Hour,201.12,Declining Balance,2025-05-03,11.49,46,Cisco Systems,Chamod Randeni,Negombo test,7.0065,79.6235,2,Network Equipment,Desktops,"IT,Critical,Active"
Asset 0042,Tangible assets,HP-MODEL-00042,SN-0000000042,TAG-000042,,2158.0,EUR,1845.41,GBP,Rent,PO-2025-1817,Purchase details for Asset 0042,"{""name"":""Apple Business"",""email"":""business@apple.com"",""type"":""Company""}",272.13,4 years,Combined,2030-02-17,Days,16984,INS000042,2026-02-20,12,Year,157.16,Declining Balance,2024-01-10,22.39,49,IBM,Chamod Randeni,Negombo test,7.2456,79.9797,5,Machinery,Monitors,"Software,Low Priority,Standby"
Asset 0043,Tangible assets,APPLE-MODEL-00043,SN-0000000043,TAG-000043,,6074.07,LKR,5163.22,LKR,Rent,PO-2025-3058,Purchase details for Asset 0043,"{""name"":""Lenovo Enterprise"",""email"":""business@lenovo.com"",""type"":""Company""}",829.38,2 years,Usage based,2027-05-23,Hours,40412,INS000043,2026-05-18,13,Year,403.44,Declining Balance,2024-12-30,32.42,46,Dell Inc.,ffd,Negombo test,6.9771,79.8854,1,Tools,Desktops,"Software,Low Priority,Standby"
Asset 0044,Intangible assets,LEN-MODEL-00044,SN-0000000044,TAG-000044,,920.5,LKR,784.84,LKR,Purchase,PO-2025-6434,Purchase details for Asset 0044,"{""name"":""Cisco Systems"",""email"":""sales@cisco.com"",""type"":""Company""}",137.94,4 years,Combined,2030-04-23,Kilometers,4740,INS000044,2027-01-22,8,Month,97.82,Sum of the Years Digits,2024-07-23,26.39,37,SAP,Chamod Randeni,Negombo test,7.4175,79.7269,4,IT Equipment,Routers,"Hardware,Standard,Reserve"
Asset 0045,Tangible assets,APPLE-MODEL-00045,SN-0000000045,TAG-000045,,1196.17,USD,1088.07,LKR,Lease,PO-2025-9263,Purchase details for Asset 0045,"{""name"":""Lenovo Enterprise"",""email"":""business@lenovo.com"",""type"":""Company""}",153.65,2 years,Combined,2028-11-07,Cycles,40637,INS000045,2027-10-10,5,Month,208.5,Units of Production,2025-05-10,17.21,1,Samsung,ffd,Negombo test,7.4944,79.6255,1,Machinery,Tablets,"Software,Low Priority,Standby"
Asset 0046,Intangible assets,HP-MODEL-00046,SN-0000000046,TAG-000046,,8825.69,USD,7539.86,EUR,Purchase,PO-2025-1360,Purchase details for Asset 0046,"{""name"":""Cisco Systems"",""email"":""sales@cisco.com"",""type"":""Company""}",1003.74,4 years,Usage based,2028-09-11,Hours,16740,INS000046,2026-10-23,13,Month,601.69,Units of Production,2024-11-18,10.22,23,Oracle,ffd,Negombo test,6.5311,79.885,3,Software,Monitors,"IT,Critical,Active"
Asset 0047,Operating assets,CISCO-MODEL-00047,SN-0000000047,TAG-000047,,6202.18,LKR,5642.75,GBP,Purchase,PO-2025-8137,Purchase details for Asset 0047,"{""name"":""Microsoft Corp"",""email"":""business@microsoft.com"",""type"":""Company""}",872.34,4 years,Time based,2030-07-24,Hours,6213,INS000047,2026-11-14,9,Year,592.2,Declining Balance,2025-05-04,11.13,88,IBM,Chamod Randeni,Negombo test,7.2607,79.5624,1,Furniture,Printers,"Hardware,Standard,Reserve"
Asset 0048,Operating assets,CISCO-MODEL-00048,SN-0000000048,TAG-000048,,2644.52,USD,2340.13,GBP,Purchase,PO-2025-6559,Purchase details for Asset 0048,"{""name"":""Cisco Systems"",""email"":""sales@cisco.com"",""type"":""Company""}",378.48,5 years,Usage based,2028-08-04,Kilometers,21691,INS000048,2027-07-23,14,Year,161.86,Units of Production,2025-06-24,13.17,45,Cisco Systems,Chamod Randeni,Negombo test,6.729,80.1961,2,Furniture,Routers,"Network,High Priority,Maintenance"
Asset 0049,Intangible assets,DELL-MODEL-00049,SN-0000000049,TAG-000049,,8868.91,EUR,8400.18,USD,Purchase,PO-2025-3350,Purchase details for Asset 0049,"{""name"":""HP Enterprise"",""email"":""enterprise@hp.com"",""type"":""Company""}",925.94,5 years,Combined,2030-11-19,Kilometers,18783,INS000049,2027-07-15,5,Year,1588.59,Sum of the Years Digits,2025-10-05,16.03,88,Oracle,Chamod Randeni,Negombo test,6.9242,80.3291,4,Electronics,Tablets,"Network,High Priority,Maintenance"
Asset 0050,Tangible assets,APPLE-MODEL-00050,SN-0000000050,TAG-000050,,2931.74,LKR,2573.43,LKR,Hire,PO-2025-4231,Purchase details for Asset 0050,"{""name"":""HP Enterprise"",""email"":""enterprise@hp.com"",""type"":""Company""}",331.19,4 years,Usage based,2027-05-21,Cycles,21295,INS000050,2026-04-15,7,Day,371.51,Units of Production,2024-03-25,24.68,65,Samsung,Chamod Randeni,Negombo test,7.2061,79.6018,3,Furniture,Laptops,"Hardware,Standard,Reserve"
Asset 0051,Operating assets,DELL-MODEL-00051,SN-0000000051,TAG-000051,,945.65,EUR,816.39,EUR,Rent,PO-2025-7261,Purchase details for Asset 0051,"{""name"":""Apple Business"",""email"":""business@apple.com"",""type"":""Company""}",106.6,2 years,Combined,2027-11-06,Cycles,45676,INS000051,2028-11-13,3,Day,279.68,Declining Balance,2024-10-09,14.97,82,Samsung,ffd,Negombo test,7.041,80.0804,2,Network Equipment,Monitors,"Hardware,Standard,Reserve"
Asset 0052,Operating assets,CISCO-MODEL-00052,SN-0000000052,TAG-000052,,3280.2,EUR,2966.76,GBP,Purchase,PO-2025-6476,Purchase details for Asset 0052,"{""name"":""Dell Direct"",""email"":""sales@dell.com"",""type"":""Company""}",442.91,2 years,Usage based,2029-01-18,Hours,39743,INS000052,2027-02-13,13,Day,218.25,Sum of the Years Digits,2025-11-30,13.68,90,Microsoft,Chamod Randeni,Negombo test,7.0845,80.0806,5,Network Equipment,Servers,"Network,High Priority,Maintenance"
Asset 0053,Tangible assets,DELL-MODEL-00053,SN-0000000053,TAG-000053,,2470.1,GBP,2239.37,EUR,Lease,PO-2025-1470,Purchase details for Asset 0053,"{""name"":""Lenovo Enterprise"",""email"":""business@lenovo.com"",""type"":""Company""}",304.44,3 years,Time based,2027-03-05,Hours,23371,INS000053,2026-07-08,5,Month,433.13,Straightline,2024-11-02,12.97,95,Samsung,Chamod Randeni,Negombo test,6.5936,80.4263,3,IT Equipment,Monitors,"Hardware,Standard,Reserve"
