name,asset_type_name,description
Category 80,Operating assets,Description for category 80
Category 81,Intangible assets,Description for category 81
Category 82,Intangible assets,Description for category 82
Category 83,Tangible assets,Description for category 83
Category 84,Operating assets,Description for category 84
Category 85,Intangible assets,Description for category 85
Category 86,Operating assets,Description for category 86
Category 87,Tangible assets,Description for category 87
Category 88,Tangible assets,Description for category 88
Category 89,Tangible assets,Description for category 89
Category 90,Tangible assets,Description for category 90
Category 91,Tangible assets,Description for category 91
Category 92,Tangible assets,Description for category 92
Category 93,Tangible assets,Description for category 93
Category 94,Intangible assets,Description for category 94
Category 95,Tangible assets,Description for category 95
Category 96,Operating assets,Description for category 96
Category 97,Intangible assets,Description for category 97
Category 98,Operating assets,Description for category 98
Category 99,Intangible assets,Description for category 99
Category 100,Intangible assets,Description for category 100
Category 101,Intangible assets,Description for category 101
Category 102,Tangible assets,Description for category 102
Category 103,Tangible assets,Description for category 103
Category 104,Operating assets,Description for category 104
Category 105,Intangible assets,Description for category 105
Category 106,Tangible assets,Description for category 106
Category 107,Tangible assets,Description for category 107
Category 108,Intangible assets,Description for category 108
Category 109,Tangible assets,Description for category 109
Category 110,Tangible assets,Description for category 110
Category 111,Tangible assets,Description for category 111
Category 112,Operating assets,Description for category 112
Category 113,Operating assets,Description for category 113
Category 114,Operating assets,Description for category 114
Category 115,Intangible assets,Description for category 115
Category 116,Intangible assets,Description for category 116
Category 117,Tangible assets,Description for category 117
Category 118,Tangible assets,Description for category 118
Category 119,Intangible assets,Description for category 119
Category 120,Operating assets,Description for category 120
Category 121,Intangible assets,Description for category 121
Category 122,Tangible assets,Description for category 122
Category 123,Tangible assets,Description for category 123
Category 124,Intangible assets,Description for category 124
Category 125,Tangible assets,Description for category 125
Category 126,Intangible assets,Description for category 126
Category 127,Operating assets,Description for category 127
Category 128,Intangible assets,Description for category 128
Category 129,Intangible assets,Description for category 129
Category 130,Operating assets,Description for category 130
Category 131,Intangible assets,Description for category 131
Category 132,Tangible assets,Description for category 132
Category 133,Tangible assets,Description for category 133
Category 134,Tangible assets,Description for category 134
Category 135,Intangible assets,Description for category 135
Category 136,Intangible assets,Description for category 136
Category 137,Operating assets,Description for category 137
Category 138,Operating assets,Description for category 138
Category 139,Operating assets,Description for category 139
Category 140,Intangible assets,Description for category 140
Category 141,Operating assets,Description for category 141
Category 142,Tangible assets,Description for category 142
Category 143,Tangible assets,Description for category 143
Category 144,Operating assets,Description for category 144
Category 145,Tangible assets,Description for category 145
Category 146,Tangible assets,Description for category 146
Category 147,Intangible assets,Description for category 147
Category 148,Intangible assets,Description for category 148
Category 149,Intangible assets,Description for category 149
Category 150,Intangible assets,Description for category 150
Category 151,Operating assets,Description for category 151
Category 152,Intangible assets,Description for category 152
Category 153,Tangible assets,Description for category 153
Category 154,Operating assets,Description for category 154
Category 155,Operating assets,Description for category 155
Category 156,Intangible assets,Description for category 156
Category 157,Tangible assets,Description for category 157
Category 158,Intangible assets,Description for category 158
Category 159,Tangible assets,Description for category 159
Category 160,Intangible assets,Description for category 160
Category 161,Tangible assets,Description for category 161
Category 162,Intangible assets,Description for category 162
Category 163,Intangible assets,Description for category 163
Category 164,Tangible assets,Description for category 164
Category 165,Intangible assets,Description for category 165
Category 166,Intangible assets,Description for category 166
Category 167,Tangible assets,Description for category 167
Category 168,Intangible assets,Description for category 168
Category 169,Tangible assets,Description for category 169
Category 170,Intangible assets,Description for category 170
Category 171,Intangible assets,Description for category 171
Category 172,Intangible assets,Description for category 172
Category 173,Operating assets,Description for category 173
Category 174,Tangible assets,Description for category 174
Category 175,Operating assets,Description for category 175
Category 176,Tangible assets,Description for category 176
Category 177,Tangible assets,Description for category 177
Category 178,Intangible assets,Description for category 178
Category 179,Operating assets,Description for category 179
Category 180,Intangible assets,Description for category 180
Category 181,Intangible assets,Description for category 181
Category 182,Intangible assets,Description for category 182
Category 183,Intangible assets,Description for category 183
Category 184,Tangible assets,Description for category 184
Category 185,Intangible assets,Description for category 185
Category 186,Operating assets,Description for category 186
Category 187,Operating assets,Description for category 187
Category 188,Intangible assets,Description for category 188
Category 189,Tangible assets,Description for category 189
Category 190,Tangible assets,Description for category 190
Category 191,Operating assets,Description for category 191
Category 192,Tangible assets,Description for category 192
Category 193,Operating assets,Description for category 193
Category 194,Tangible assets,Description for category 194
Category 195,Tangible assets,Description for category 195
Category 196,Tangible assets,Description for category 196
Category 197,Operating assets,Description for category 197
Category 198,Intangible assets,Description for category 198
Category 199,Tangible assets,Description for category 199
Category 200,Tangible assets,Description for category 200
Category 201,Operating assets,Description for category 201
Category 202,Intangible assets,Description for category 202
Category 203,Intangible assets,Description for category 203
Category 204,Intangible assets,Description for category 204
Category 205,Operating assets,Description for category 205
Category 206,Intangible assets,Description for category 206
Category 207,Tangible assets,Description for category 207
Category 208,Tangible assets,Description for category 208
Category 209,Operating assets,Description for category 209
Category 210,Intangible assets,Description for category 210
Category 211,Intangible assets,Description for category 211
Category 212,Intangible assets,Description for category 212
Category 213,Tangible assets,Description for category 213
Category 214,Intangible assets,Description for category 214
Category 215,Tangible assets,Description for category 215
Category 216,Intangible assets,Description for category 216
Category 217,Operating assets,Description for category 217
Category 218,Intangible assets,Description for category 218
Category 219,Intangible assets,Description for category 219
Category 220,Tangible assets,Description for category 220
Category 221,Operating assets,Description for category 221
Category 222,Tangible assets,Description for category 222
Category 223,Operating assets,Description for category 223
Category 224,Tangible assets,Description for category 224
Category 225,Tangible assets,Description for category 225
Category 226,Intangible assets,Description for category 226
Category 227,Operating assets,Description for category 227
Category 228,Operating assets,Description for category 228
Category 229,Intangible assets,Description for category 229
Category 230,Intangible assets,Description for category 230
Category 231,Operating assets,Description for category 231
Category 232,Tangible assets,Description for category 232
Category 233,Intangible assets,Description for category 233
Category 234,Tangible assets,Description for category 234
Category 235,Tangible assets,Description for category 235
Category 236,Intangible assets,Description for category 236
Category 237,Operating assets,Description for category 237
Category 238,Operating assets,Description for category 238
Category 239,Tangible assets,Description for category 239
Category 240,Tangible assets,Description for category 240
Category 241,Tangible assets,Description for category 241
Category 242,Operating assets,Description for category 242
Category 243,Tangible assets,Description for category 243
Category 244,Tangible assets,Description for category 244
Category 245,Intangible assets,Description for category 245
Category 246,Operating assets,Description for category 246
Category 247,Tangible assets,Description for category 247
Category 248,Tangible assets,Description for category 248
Category 249,Tangible assets,Description for category 249
Category 250,Intangible assets,Description for category 250
Category 251,Tangible assets,Description for category 251
Category 252,Operating assets,Description for category 252
Category 253,Intangible assets,Description for category 253
Category 254,Intangible assets,Description for category 254
Category 255,Tangible assets,Description for category 255
Category 256,Intangible assets,Description for category 256
Category 257,Intangible assets,Description for category 257
Category 258,Tangible assets,Description for category 258
Category 259,Intangible assets,Description for category 259
Category 260,Operating assets,Description for category 260
Category 261,Tangible assets,Description for category 261
Category 262,Tangible assets,Description for category 262
Category 263,Intangible assets,Description for category 263
Category 264,Operating assets,Description for category 264
Category 265,Operating assets,Description for category 265
Category 266,Operating assets,Description for category 266
Category 267,Intangible assets,Description for category 267
Category 268,Operating assets,Description for category 268
Category 269,Intangible assets,Description for category 269
Category 270,Tangible assets,Description for category 270
Category 271,Tangible assets,Description for category 271
Category 272,Intangible assets,Description for category 272
Category 273,Intangible assets,Description for category 273
Category 274,Intangible assets,Description for category 274
Category 275,Intangible assets,Description for category 275
Category 276,Tangible assets,Description for category 276
Category 277,Intangible assets,Description for category 277
Category 278,Tangible assets,Description for category 278
Category 279,Operating assets,Description for category 279
Category 280,Operating assets,Description for category 280
Category 281,Intangible assets,Description for category 281
Category 282,Tangible assets,Description for category 282
Category 283,Intangible assets,Description for category 283
Category 284,Intangible assets,Description for category 284
Category 285,Intangible assets,Description for category 285
Category 286,Operating assets,Description for category 286
Category 287,Tangible assets,Description for category 287
Category 288,Operating assets,Description for category 288
Category 289,Tangible assets,Description for category 289
Category 290,Tangible assets,Description for category 290
Category 291,Intangible assets,Description for category 291
Category 292,Tangible assets,Description for category 292
Category 293,Operating assets,Description for category 293
Category 294,Operating assets,Description for category 294
Category 295,Operating assets,Description for category 295
Category 296,Intangible assets,Description for category 296
Category 297,Intangible assets,Description for category 297
Category 298,Operating assets,Description for category 298
Category 299,Tangible assets,Description for category 299
Category 300,Intangible assets,Description for category 300
Category 301,Intangible assets,Description for category 301
Category 302,Tangible assets,Description for category 302
Category 303,Tangible assets,Description for category 303
Category 304,Operating assets,Description for category 304
Category 305,Tangible assets,Description for category 305
Category 306,Tangible assets,Description for category 306
Category 307,Tangible assets,Description for category 307
Category 308,Intangible assets,Description for category 308
Category 309,Operating assets,Description for category 309
Category 310,Operating assets,Description for category 310
Category 311,Intangible assets,Description for category 311
Category 312,Intangible assets,Description for category 312
Category 313,Intangible assets,Description for category 313
Category 314,Tangible assets,Description for category 314
Category 315,Intangible assets,Description for category 315
Category 316,Tangible assets,Description for category 316
Category 317,Intangible assets,Description for category 317
Category 318,Tangible assets,Description for category 318
Category 319,Operating assets,Description for category 319
Category 320,Intangible assets,Description for category 320
Category 321,Operating assets,Description for category 321
Category 322,Operating assets,Description for category 322
Category 323,Operating assets,Description for category 323
Category 324,Intangible assets,Description for category 324
Category 325,Tangible assets,Description for category 325
Category 326,Tangible assets,Description for category 326
Category 327,Intangible assets,Description for category 327
Category 328,Intangible assets,Description for category 328
Category 329,Operating assets,Description for category 329
Category 330,Operating assets,Description for category 330
Category 331,Tangible assets,Description for category 331
Category 332,Tangible assets,Description for category 332
Category 333,Operating assets,Description for category 333
Category 334,Operating assets,Description for category 334
Category 335,Intangible assets,Description for category 335
Category 336,Operating assets,Description for category 336
Category 337,Tangible assets,Description for category 337
Category 338,Operating assets,Description for category 338
Category 339,Intangible assets,Description for category 339
Category 340,Intangible assets,Description for category 340
Category 341,Tangible assets,Description for category 341
Category 342,Tangible assets,Description for category 342
Category 343,Operating assets,Description for category 343
Category 344,Intangible assets,Description for category 344
Category 345,Intangible assets,Description for category 345
Category 346,Intangible assets,Description for category 346
Category 347,Intangible assets,Description for category 347
Category 348,Intangible assets,Description for category 348
Category 349,Tangible assets,Description for category 349
Category 350,Tangible assets,Description for category 350
Category 351,Operating assets,Description for category 351
Category 352,Operating assets,Description for category 352
Category 353,Intangible assets,Description for category 353
Category 354,Tangible assets,Description for category 354
Category 355,Operating assets,Description for category 355
Category 356,Intangible assets,Description for category 356
Category 357,Tangible assets,Description for category 357
Category 358,Tangible assets,Description for category 358
Category 359,Tangible assets,Description for category 359
Category 360,Operating assets,Description for category 360
Category 361,Tangible assets,Description for category 361
Category 362,Tangible assets,Description for category 362
Category 363,Operating assets,Description for category 363
Category 364,Tangible assets,Description for category 364
Category 365,Tangible assets,Description for category 365
Category 366,Intangible assets,Description for category 366
Category 367,Tangible assets,Description for category 367
Category 368,Operating assets,Description for category 368
Category 369,Operating assets,Description for category 369
Category 370,Operating assets,Description for category 370
Category 371,Tangible assets,Description for category 371
Category 372,Tangible assets,Description for category 372
Category 373,Intangible assets,Description for category 373
Category 374,Operating assets,Description for category 374
Category 375,Tangible assets,Description for category 375
Category 376,Tangible assets,Description for category 376
Category 377,Tangible assets,Description for category 377
Category 378,Intangible assets,Description for category 378
Category 379,Tangible assets,Description for category 379
Category 380,Intangible assets,Description for category 380
Category 381,Operating assets,Description for category 381
Category 382,Operating assets,Description for category 382
Category 383,Tangible assets,Description for category 383
Category 384,Intangible assets,Description for category 384
Category 385,Operating assets,Description for category 385
Category 386,Tangible assets,Description for category 386
Category 387,Tangible assets,Description for category 387
Category 388,Operating assets,Description for category 388
Category 389,Intangible assets,Description for category 389
Category 390,Intangible assets,Description for category 390
Category 391,Operating assets,Description for category 391
Category 392,Operating assets,Description for category 392
Category 393,Tangible assets,Description for category 393
Category 394,Intangible assets,Description for category 394
Category 395,Intangible assets,Description for category 395
Category 396,Tangible assets,Description for category 396
Category 397,Intangible assets,Description for category 397
Category 398,Operating assets,Description for category 398
Category 399,Operating assets,Description for category 399
Category 400,Operating assets,Description for category 400
Category 401,Operating assets,Description for category 401
Category 402,Tangible assets,Description for category 402
Category 403,Operating assets,Description for category 403
Category 404,Operating assets,Description for category 404
Category 405,Operating assets,Description for category 405
Category 406,Operating assets,Description for category 406
Category 407,Tangible assets,Description for category 407
Category 408,Tangible assets,Description for category 408
Category 409,Tangible assets,Description for category 409
Category 410,Intangible assets,Description for category 410
Category 411,Tangible assets,Description for category 411
Category 412,Tangible assets,Description for category 412
Category 413,Operating assets,Description for category 413
Category 414,Operating assets,Description for category 414
Category 415,Intangible assets,Description for category 415
Category 416,Tangible assets,Description for category 416
Category 417,Tangible assets,Description for category 417
Category 418,Tangible assets,Description for category 418
Category 419,Intangible assets,Description for category 419
Category 420,Tangible assets,Description for category 420
Category 421,Tangible assets,Description for category 421
Category 422,Intangible assets,Description for category 422
Category 423,Tangible assets,Description for category 423
Category 424,Tangible assets,Description for category 424
Category 425,Intangible assets,Description for category 425
Category 426,Intangible assets,Description for category 426
Category 427,Tangible assets,Description for category 427
Category 428,Operating assets,Description for category 428
Category 429,Tangible assets,Description for category 429
Category 430,Tangible assets,Description for category 430
Category 431,Operating assets,Description for category 431
Category 432,Intangible assets,Description for category 432
Category 433,Intangible assets,Description for category 433
Category 434,Operating assets,Description for category 434
Category 435,Intangible assets,Description for category 435
Category 436,Intangible assets,Description for category 436
Category 437,Operating assets,Description for category 437
Category 438,Tangible assets,Description for category 438
Category 439,Intangible assets,Description for category 439
Category 440,Operating assets,Description for category 440
Category 441,Intangible assets,Description for category 441
Category 442,Operating assets,Description for category 442
Category 443,Operating assets,Description for category 443
Category 444,Operating assets,Description for category 444
Category 445,Operating assets,Description for category 445
Category 446,Tangible assets,Description for category 446
Category 447,Tangible assets,Description for category 447
Category 448,Operating assets,Description for category 448
Category 449,Tangible assets,Description for category 449
Category 450,Tangible assets,Description for category 450
Category 451,Intangible assets,Description for category 451
Category 452,Tangible assets,Description for category 452
Category 453,Tangible assets,Description for category 453
Category 454,Tangible assets,Description for category 454
Category 455,Operating assets,Description for category 455
Category 456,Intangible assets,Description for category 456
Category 457,Tangible assets,Description for category 457
Category 458,Operating assets,Description for category 458
Category 459,Intangible assets,Description for category 459
Category 460,Tangible assets,Description for category 460
Category 461,Intangible assets,Description for category 461
Category 462,Operating assets,Description for category 462
Category 463,Operating assets,Description for category 463
Category 464,Intangible assets,Description for category 464
Category 465,Tangible assets,Description for category 465
Category 466,Operating assets,Description for category 466
Category 467,Intangible assets,Description for category 467
Category 468,Operating assets,Description for category 468
Category 469,Operating assets,Description for category 469
Category 470,Intangible assets,Description for category 470
Category 471,Tangible assets,Description for category 471
Category 472,Intangible assets,Description for category 472
Category 473,Operating assets,Description for category 473
Category 474,Intangible assets,Description for category 474
Category 475,Intangible assets,Description for category 475
Category 476,Tangible assets,Description for category 476
Category 477,Tangible assets,Description for category 477
Category 478,Operating assets,Description for category 478
Category 479,Operating assets,Description for category 479
Category 480,Operating assets,Description for category 480
Category 481,Tangible assets,Description for category 481
Category 482,Tangible assets,Description for category 482
Category 483,Operating assets,Description for category 483
Category 484,Intangible assets,Description for category 484
Category 485,Operating assets,Description for category 485
Category 486,Tangible assets,Description for category 486
Category 487,Tangible assets,Description for category 487
Category 488,Operating assets,Description for category 488
Category 489,Operating assets,Description for category 489
Category 490,Tangible assets,Description for category 490
Category 491,Tangible assets,Description for category 491
Category 492,Operating assets,Description for category 492
Category 493,Intangible assets,Description for category 493
Category 494,Intangible assets,Description for category 494
Category 495,Operating assets,Description for category 495
Category 496,Intangible assets,Description for category 496
Category 497,Tangible assets,Description for category 497
Category 498,Operating assets,Description for category 498
Category 499,Tangible assets,Description for category 499
Category 500,Intangible assets,Description for category 500
Category 501,Operating assets,Description for category 501
Category 502,Operating assets,Description for category 502
Category 503,Tangible assets,Description for category 503
Category 504,Operating assets,Description for category 504
Category 505,Operating assets,Description for category 505
Category 506,Intangible assets,Description for category 506
Category 507,Intangible assets,Description for category 507
Category 508,Tangible assets,Description for category 508
Category 509,Intangible assets,Description for category 509
Category 510,Intangible assets,Description for category 510
Category 511,Operating assets,Description for category 511
Category 512,Intangible assets,Description for category 512
Category 513,Tangible assets,Description for category 513
Category 514,Operating assets,Description for category 514
Category 515,Operating assets,Description for category 515
Category 516,Tangible assets,Description for category 516
Category 517,Tangible assets,Description for category 517
Category 518,Tangible assets,Description for category 518
Category 519,Intangible assets,Description for category 519
Category 520,Intangible assets,Description for category 520
Category 521,Operating assets,Description for category 521
Category 522,Intangible assets,Description for category 522
Category 523,Tangible assets,Description for category 523
Category 524,Tangible assets,Description for category 524
Category 525,Intangible assets,Description for category 525
Category 526,Tangible assets,Description for category 526
Category 527,Tangible assets,Description for category 527
Category 528,Operating assets,Description for category 528
Category 529,Intangible assets,Description for category 529
Category 530,Tangible assets,Description for category 530
Category 531,Tangible assets,Description for category 531
Category 532,Operating assets,Description for category 532
Category 533,Tangible assets,Description for category 533
Category 534,Tangible assets,Description for category 534
Category 535,Intangible assets,Description for category 535
Category 536,Tangible assets,Description for category 536
Category 537,Operating assets,Description for category 537
Category 538,Intangible assets,Description for category 538
Category 539,Intangible assets,Description for category 539
Category 540,Intangible assets,Description for category 540
Category 541,Intangible assets,Description for category 541
Category 542,Operating assets,Description for category 542
Category 543,Intangible assets,Description for category 543
Category 544,Intangible assets,Description for category 544
Category 545,Operating assets,Description for category 545
Category 546,Tangible assets,Description for category 546
Category 547,Tangible assets,Description for category 547
Category 548,Intangible assets,Description for category 548
Category 549,Operating assets,Description for category 549
Category 550,Operating assets,Description for category 550
Category 551,Intangible assets,Description for category 551
Category 552,Operating assets,Description for category 552
Category 553,Tangible assets,Description for category 553
Category 554,Tangible assets,Description for category 554
Category 555,Tangible assets,Description for category 555
Category 556,Tangible assets,Description for category 556
Category 557,Intangible assets,Description for category 557
Category 558,Operating assets,Description for category 558
Category 559,Tangible assets,Description for category 559
Category 560,Intangible assets,Description for category 560
Category 561,Intangible assets,Description for category 561
Category 562,Operating assets,Description for category 562
Category 563,Intangible assets,Description for category 563
Category 564,Operating assets,Description for category 564
Category 565,Operating assets,Description for category 565
Category 566,Operating assets,Description for category 566
Category 567,Operating assets,Description for category 567
Category 568,Tangible assets,Description for category 568
Category 569,Intangible assets,Description for category 569
Category 570,Tangible assets,Description for category 570
Category 571,Tangible assets,Description for category 571
Category 572,Intangible assets,Description for category 572
Category 573,Intangible assets,Description for category 573
Category 574,Tangible assets,Description for category 574
Category 575,Tangible assets,Description for category 575
Category 576,Tangible assets,Description for category 576
Category 577,Tangible assets,Description for category 577
Category 578,Operating assets,Description for category 578
Category 579,Tangible assets,Description for category 579
Category 580,Intangible assets,Description for category 580
Category 581,Intangible assets,Description for category 581
Category 582,Tangible assets,Description for category 582
Category 583,Intangible assets,Description for category 583
Category 584,Tangible assets,Description for category 584
Category 585,Intangible assets,Description for category 585
Category 586,Intangible assets,Description for category 586
Category 587,Tangible assets,Description for category 587
Category 588,Intangible assets,Description for category 588
Category 589,Operating assets,Description for category 589
Category 590,Intangible assets,Description for category 590
Category 591,Operating assets,Description for category 591
Category 592,Operating assets,Description for category 592
Category 593,Intangible assets,Description for category 593
Category 594,Operating assets,Description for category 594
Category 595,Intangible assets,Description for category 595
Category 596,Intangible assets,Description for category 596
Category 597,Operating assets,Description for category 597
Category 598,Operating assets,Description for category 598
Category 599,Tangible assets,Description for category 599
Category 600,Operating assets,Description for category 600
Category 601,Operating assets,Description for category 601
Category 602,Tangible assets,Description for category 602
Category 603,Intangible assets,Description for category 603
Category 604,Operating assets,Description for category 604
Category 605,Operating assets,Description for category 605
Category 606,Intangible assets,Description for category 606
Category 607,Intangible assets,Description for category 607
Category 608,Tangible assets,Description for category 608
Category 609,Operating assets,Description for category 609
Category 610,Tangible assets,Description for category 610
Category 611,Operating assets,Description for category 611
Category 612,Operating assets,Description for category 612
Category 613,Intangible assets,Description for category 613
Category 614,Intangible assets,Description for category 614
Category 615,Tangible assets,Description for category 615
Category 616,Tangible assets,Description for category 616
Category 617,Operating assets,Description for category 617
Category 618,Tangible assets,Description for category 618
Category 619,Intangible assets,Description for category 619
Category 620,Operating assets,Description for category 620
Category 621,Tangible assets,Description for category 621
Category 622,Tangible assets,Description for category 622
Category 623,Intangible assets,Description for category 623
Category 624,Operating assets,Description for category 624
Category 625,Tangible assets,Description for category 625
Category 626,Intangible assets,Description for category 626
Category 627,Operating assets,Description for category 627
Category 628,Tangible assets,Description for category 628
Category 629,Intangible assets,Description for category 629
Category 630,Intangible assets,Description for category 630
Category 631,Operating assets,Description for category 631
Category 632,Tangible assets,Description for category 632
Category 633,Operating assets,Description for category 633
Category 634,Tangible assets,Description for category 634
Category 635,Operating assets,Description for category 635
Category 636,Intangible assets,Description for category 636
Category 637,Operating assets,Description for category 637
Category 638,Operating assets,Description for category 638
Category 639,Tangible assets,Description for category 639
Category 640,Tangible assets,Description for category 640
Category 641,Tangible assets,Description for category 641
Category 642,Tangible assets,Description for category 642
Category 643,Tangible assets,Description for category 643
Category 644,Intangible assets,Description for category 644
Category 645,Operating assets,Description for category 645
Category 646,Intangible assets,Description for category 646
Category 647,Operating assets,Description for category 647
Category 648,Intangible assets,Description for category 648
Category 649,Tangible assets,Description for category 649
Category 650,Intangible assets,Description for category 650
Category 651,Tangible assets,Description for category 651
Category 652,Tangible assets,Description for category 652
Category 653,Intangible assets,Description for category 653
Category 654,Intangible assets,Description for category 654
Category 655,Operating assets,Description for category 655
Category 656,Tangible assets,Description for category 656
Category 657,Intangible assets,Description for category 657
Category 658,Tangible assets,Description for category 658
Category 659,Intangible assets,Description for category 659
Category 660,Tangible assets,Description for category 660
Category 661,Tangible assets,Description for category 661
Category 662,Intangible assets,Description for category 662
Category 663,Intangible assets,Description for category 663
Category 664,Operating assets,Description for category 664
Category 665,Tangible assets,Description for category 665
Category 666,Intangible assets,Description for category 666
Category 667,Intangible assets,Description for category 667
Category 668,Tangible assets,Description for category 668
Category 669,Intangible assets,Description for category 669
Category 670,Intangible assets,Description for category 670
Category 671,Operating assets,Description for category 671
Category 672,Tangible assets,Description for category 672
Category 673,Operating assets,Description for category 673
Category 674,Intangible assets,Description for category 674
Category 675,Operating assets,Description for category 675
Category 676,Intangible assets,Description for category 676
Category 677,Intangible assets,Description for category 677
Category 678,Intangible assets,Description for category 678
Category 679,Tangible assets,Description for category 679
Category 680,Intangible assets,Description for category 680
Category 681,Intangible assets,Description for category 681
Category 682,Tangible assets,Description for category 682
Category 683,Operating assets,Description for category 683
Category 684,Tangible assets,Description for category 684
Category 685,Operating assets,Description for category 685
Category 686,Intangible assets,Description for category 686
Category 687,Intangible assets,Description for category 687
Category 688,Operating assets,Description for category 688
Category 689,Intangible assets,Description for category 689
Category 690,Tangible assets,Description for category 690
Category 691,Tangible assets,Description for category 691
Category 692,Tangible assets,Description for category 692
Category 693,Tangible assets,Description for category 693
Category 694,Intangible assets,Description for category 694
Category 695,Operating assets,Description for category 695
Category 696,Intangible assets,Description for category 696
Category 697,Operating assets,Description for category 697
Category 698,Tangible assets,Description for category 698
Category 699,Tangible assets,Description for category 699
Category 700,Intangible assets,Description for category 700
Category 701,Tangible assets,Description for category 701
Category 702,Tangible assets,Description for category 702
Category 703,Operating assets,Description for category 703
Category 704,Intangible assets,Description for category 704
Category 705,Operating assets,Description for category 705
Category 706,Operating assets,Description for category 706
Category 707,Operating assets,Description for category 707
Category 708,Intangible assets,Description for category 708
Category 709,Tangible assets,Description for category 709
Category 710,Intangible assets,Description for category 710
Category 711,Intangible assets,Description for category 711
Category 712,Operating assets,Description for category 712
Category 713,Tangible assets,Description for category 713
Category 714,Operating assets,Description for category 714
Category 715,Operating assets,Description for category 715
Category 716,Tangible assets,Description for category 716
Category 717,Intangible assets,Description for category 717
Category 718,Operating assets,Description for category 718
Category 719,Operating assets,Description for category 719
Category 720,Intangible assets,Description for category 720
Category 721,Intangible assets,Description for category 721
Category 722,Tangible assets,Description for category 722
Category 723,Operating assets,Description for category 723
Category 724,Tangible assets,Description for category 724
Category 725,Intangible assets,Description for category 725
Category 726,Operating assets,Description for category 726
Category 727,Tangible assets,Description for category 727
Category 728,Operating assets,Description for category 728
Category 729,Tangible assets,Description for category 729
Category 730,Intangible assets,Description for category 730
Category 731,Operating assets,Description for category 731
Category 732,Tangible assets,Description for category 732
Category 733,Operating assets,Description for category 733
Category 734,Tangible assets,Description for category 734
Category 735,Intangible assets,Description for category 735
Category 736,Operating assets,Description for category 736
Category 737,Tangible assets,Description for category 737
Category 738,Intangible assets,Description for category 738
Category 739,Intangible assets,Description for category 739
Category 740,Operating assets,Description for category 740
Category 741,Tangible assets,Description for category 741
Category 742,Tangible assets,Description for category 742
Category 743,Operating assets,Description for category 743
Category 744,Tangible assets,Description for category 744
Category 745,Tangible assets,Description for category 745
Category 746,Tangible assets,Description for category 746
Category 747,Intangible assets,Description for category 747
