item_name,item_description,category_name,item_category_type_name,type_name,unit_of_measure_name,purchase_price,purchase_price_currency_code,selling_price,selling_price_currency_code,max_inventory_level,min_inventory_level,re_order_level,low_stock_alert,over_stock_alert
Item 0017,Description for Item 0017,Manufacturing Parts,Consumables,Non-Perishable,Liter,713.12,LKR,1598.75,EUR,1954,95,597,True,True
Item 0018,Description for Item 0018,Tools,Spare Parts,Digital,Piece,304.84,LKR,673.36,EUR,1046,104,335,False,False
Item 0019,Description for Item 0019,IT Equipment,Spare Parts,Perishable,Piece,891.02,USD,1506.86,GBP,1853,116,277,False,False
Item 0020,Description for Item 0020,Manufacturing Parts,Spare Parts,Non-Perishable,Liter,888.7,LKR,1574.99,GBP,929,118,129,True,True
Item 0021,Description for Item 0021,Tools,Spare Parts,Digital,Liter,635.44,USD,1091.36,GBP,906,155,444,False,False
Item 0022,Description for Item 0022,Electronics,Spare Parts,Perishable,Meter,808.32,USD,1377.08,EUR,1337,136,685,True,True
Item 0023,Description for Item 0023,Safety Equipment,Consumables,Perishable,Meter,773.74,LKR,1685.46,GBP,1218,87,297,False,True
Item 0024,Description for Item 0024,Consumables,Spare Parts,Perishable,Liter,82.89,LKR,200.83,LKR,1739,172,1331,False,False
Item 0025,Description for Item 0025,Electronics,Spare Parts,Digital,Kilogram,205.33,USD,487.93,USD,818,87,569,False,True
Item 0026,Description for Item 0026,Safety Equipment,Consumables,Perishable,Meter,61.97,GBP,118.65,EUR,1219,107,463,True,False
Item 0027,Description for Item 0027,Medical Supplies,Consumables,Perishable,Meter,11.86,EUR,21.41,USD,706,109,217,False,True
Item 0028,Description for Item 0028,IT Equipment,Spare Parts,Perishable,Liter,516.1,USD,821.23,GBP,1508,68,806,True,False
Item 0029,Description for Item 0029,Laboratory Equipment,Spare Parts,Perishable,Meter,629.81,LKR,972.77,LKR,1750,56,1368,True,True
Item 0030,Description for Item 0030,Tools,Consumables,Perishable,Liter,651.75,USD,1527.08,GBP,1652,174,1530,True,True
Item 0031,Description for Item 0031,Safety Equipment,Consumables,Non-Perishable,Kilogram,396.02,GBP,866.67,LKR,1115,116,572,True,False
Item 0032,Description for Item 0032,Safety Equipment,Spare Parts,Digital,Meter,952.33,USD,2227.82,GBP,747,140,236,True,False
Item 0033,Description for Item 0033,Tools,Spare Parts,Digital,Liter,959.47,GBP,1804.15,GBP,1891,151,341,True,True
Item 0034,Description for Item 0034,Furniture,Consumables,Digital,Kilogram,231.34,LKR,570.06,GBP,1111,170,297,True,False
Item 0035,Description for Item 0035,Office Supplies,Consumables,Non-Perishable,Kilogram,697.79,EUR,1470.37,EUR,882,84,729,True,True
Item 0036,Description for Item 0036,Laboratory Equipment,Spare Parts,Non-Perishable,Meter,786.03,LKR,1580.16,EUR,683,54,127,True,False
Item 0037,Description for Item 0037,Furniture,Spare Parts,Digital,Kilogram,563.65,GBP,807.06,USD,756,143,567,True,True
Item 0038,Description for Item 0038,Laboratory Equipment,Consumables,Digital,Piece,963.47,GBP,2111.43,LKR,621,197,484,True,True
Item 0039,Description for Item 0039,Office Supplies,Spare Parts,Non-Perishable,Meter,369.75,EUR,610.57,GBP,509,89,372,False,True
Item 0040,Description for Item 0040,Electronics,Consumables,Digital,Liter,389.45,GBP,918.13,GBP,1914,167,572,True,True
Item 0041,Description for Item 0041,Office Supplies,Consumables,Perishable,Liter,648.19,USD,1149.02,EUR,1310,135,899,True,True
Item 0042,Description for Item 0042,Laboratory Equipment,Consumables,Digital,Kilogram,535.8,GBP,791.65,GBP,1844,126,1716,False,True
Item 0043,Description for Item 0043,Safety Equipment,Consumables,Perishable,Meter,206.67,GBP,465.24,LKR,1749,51,1029,True,False
Item 0044,Description for Item 0044,Furniture,Spare Parts,Non-Perishable,Meter,255.71,USD,469.8,USD,1372,103,439,True,False
Item 0045,Description for Item 0045,Tools,Spare Parts,Digital,Liter,189.05,GBP,415.35,GBP,1349,109,774,False,False
Item 0046,Description for Item 0046,Safety Equipment,Spare Parts,Non-Perishable,Kilogram,681.87,GBP,1015.26,USD,1549,92,1388,False,False
Item 0047,Description for Item 0047,Electronics,Spare Parts,Perishable,Kilogram,438.67,EUR,936.71,LKR,1846,98,1639,True,False
Item 0048,Description for Item 0048,Office Supplies,Spare Parts,Non-Perishable,Liter,335.18,GBP,503.79,GBP,1936,95,1692,False,True
Item 0049,Description for Item 0049,Electronics,Spare Parts,Non-Perishable,Piece,414.98,GBP,847.05,EUR,1410,130,1078,False,True
Item 0050,Description for Item 0050,IT Equipment,Consumables,Non-Perishable,Piece,144.31,GBP,285.8,LKR,1024,161,450,False,False
Item 0051,Description for Item 0051,Office Supplies,Consumables,Digital,Piece,698.31,EUR,1142.97,GBP,804,200,442,True,True
Item 0052,Description for Item 0052,Safety Equipment,Consumables,Digital,Meter,926.03,GBP,1251.1,GBP,984,84,331,True,True
Item 0053,Description for Item 0053,Office Supplies,Spare Parts,Perishable,Kilogram,981.15,EUR,2036.85,USD,1554,79,372,False,True
Item 0054,Description for Item 0054,Tools,Consumables,Perishable,Liter,941.09,EUR,1539.66,LKR,1982,129,1433,True,True
Item 0055,Description for Item 0055,Furniture,Spare Parts,Non-Perishable,Kilogram,252.35,GBP,549.98,EUR,1065,55,963,True,True
Item 0056,Description for Item 0056,Furniture,Spare Parts,Digital,Piece,581.87,EUR,1450.19,GBP,1748,98,724,True,False
Item 0057,Description for Item 0057,Laboratory Equipment,Spare Parts,Digital,Meter,421.8,GBP,814.5,GBP,1228,121,727,True,True
Item 0058,Description for Item 0058,Medical Supplies,Spare Parts,Digital,Liter,56.04,GBP,82.78,EUR,1945,148,1546,False,False
Item 0059,Description for Item 0059,Safety Equipment,Spare Parts,Non-Perishable,Meter,921.13,EUR,1151.02,LKR,1223,153,225,True,True
Item 0060,Description for Item 0060,Medical Supplies,Spare Parts,Non-Perishable,Meter,138.66,EUR,337.92,LKR,1759,95,1632,False,True
Item 0061,Description for Item 0061,Medical Supplies,Consumables,Digital,Liter,708.46,GBP,1070.78,LKR,1856,95,879,True,True
Item 0062,Description for Item 0062,Tools,Consumables,Digital,Meter,978.45,EUR,2397.94,USD,587,100,371,True,False
Item 0063,Description for Item 0063,Safety Equipment,Spare Parts,Perishable,Liter,343.3,LKR,457.24,LKR,1524,134,1230,True,True
Item 0064,Description for Item 0064,Electronics,Spare Parts,Digital,Kilogram,198.82,USD,368.04,EUR,1462,194,853,True,True
Item 0065,Description for Item 0065,Consumables,Spare Parts,Perishable,Kilogram,388.5,USD,837.27,USD,1039,143,672,True,True
Item 0066,Description for Item 0066,Manufacturing Parts,Consumables,Perishable,Kilogram,365.14,EUR,510.49,EUR,1521,192,1072,False,False
Item 0067,Description for Item 0067,Medical Supplies,Spare Parts,Perishable,Meter,182.98,EUR,299.37,EUR,1728,131,774,True,True
Item 0068,Description for Item 0068,Laboratory Equipment,Consumables,Digital,Kilogram,112.04,GBP,277.66,EUR,1764,103,1150,True,True
Item 0069,Description for Item 0069,Manufacturing Parts,Spare Parts,Non-Perishable,Liter,989.85,LKR,1368.41,LKR,1185,120,952,False,False
Item 0070,Description for Item 0070,Consumables,Consumables,Perishable,Kilogram,600.7,LKR,805.35,USD,907,111,125,False,True
Item 0071,Description for Item 0071,Electronics,Spare Parts,Digital,Piece,267.26,GBP,528.06,USD,1686,198,1493,False,False
Item 0072,Description for Item 0072,Tools,Consumables,Non-Perishable,Liter,925.17,USD,1722.0,EUR,666,147,533,False,False
Item 0073,Description for Item 0073,Electronics,Spare Parts,Digital,Meter,47.31,EUR,110.66,LKR,907,163,769,False,False
Item 0074,Description for Item 0074,Manufacturing Parts,Spare Parts,Digital,Liter,475.63,USD,592.81,USD,599,123,341,True,True
Item 0075,Description for Item 0075,Furniture,Consumables,Perishable,Meter,276.47,LKR,404.79,GBP,581,147,463,True,False
Item 0076,Description for Item 0076,Furniture,Spare Parts,Digital,Meter,444.24,GBP,857.9,EUR,1994,73,342,True,False
Item 0077,Description for Item 0077,Laboratory Equipment,Spare Parts,Perishable,Kilogram,719.78,LKR,1793.33,USD,811,55,139,False,True
Item 0078,Description for Item 0078,Laboratory Equipment,Consumables,Non-Perishable,Liter,384.44,EUR,700.68,GBP,1358,158,1065,False,False
Item 0079,Description for Item 0079,Consumables,Spare Parts,Non-Perishable,Piece,229.24,USD,292.52,USD,1578,168,606,True,False
Item 0080,Description for Item 0080,IT Equipment,Spare Parts,Perishable,Piece,520.88,GBP,1010.02,EUR,1115,140,342,True,True
Item 0081,Description for Item 0081,Manufacturing Parts,Consumables,Non-Perishable,Meter,305.32,GBP,549.93,EUR,732,189,368,False,True
Item 0082,Description for Item 0082,Furniture,Spare Parts,Digital,Piece,95.18,EUR,210.99,LKR,1656,168,1358,False,True
Item 0083,Description for Item 0083,Safety Equipment,Spare Parts,Non-Perishable,Meter,191.2,GBP,261.24,EUR,720,76,112,False,False
Item 0084,Description for Item 0084,Consumables,Spare Parts,Perishable,Liter,862.19,LKR,1337.23,EUR,659,146,236,False,False
Item 0085,Description for Item 0085,Medical Supplies,Spare Parts,Digital,Kilogram,481.32,GBP,1127.08,USD,1621,111,1437,True,False
Item 0086,Description for Item 0086,Furniture,Spare Parts,Digital,Kilogram,882.09,GBP,2058.52,EUR,1898,62,307,True,False
Item 0087,Description for Item 0087,Tools,Spare Parts,Perishable,Meter,849.39,LKR,1041.95,LKR,736,160,633,False,False
Item 0088,Description for Item 0088,Laboratory Equipment,Consumables,Perishable,Meter,175.19,LKR,409.2,USD,1947,65,554,False,False
Item 0089,Description for Item 0089,Office Supplies,Spare Parts,Perishable,Meter,197.88,LKR,352.99,USD,1543,137,694,True,False
Item 0090,Description for Item 0090,Safety Equipment,Spare Parts,Digital,Meter,486.31,EUR,656.26,EUR,703,111,531,False,False
Item 0091,Description for Item 0091,Manufacturing Parts,Spare Parts,Perishable,Meter,765.13,EUR,1790.37,GBP,1682,78,1481,True,False
Item 0092,Description for Item 0092,Electronics,Consumables,Perishable,Liter,312.31,EUR,746.25,GBP,1882,67,197,True,True
Item 0093,Description for Item 0093,Consumables,Consumables,Digital,Piece,820.12,GBP,1049.82,LKR,1932,88,1379,False,False
Item 0094,Description for Item 0094,Office Supplies,Consumables,Non-Perishable,Piece,943.45,USD,1941.55,EUR,1163,140,798,False,True
Item 0095,Description for Item 0095,Tools,Consumables,Perishable,Liter,860.99,GBP,1699.25,GBP,1117,116,651,True,False
Item 0096,Description for Item 0096,Tools,Spare Parts,Perishable,Kilogram,375.24,EUR,768.84,GBP,1868,54,1706,True,True
Item 0097,Description for Item 0097,Safety Equipment,Consumables,Digital,Liter,419.68,LKR,985.34,LKR,1940,107,1310,False,True
Item 0098,Description for Item 0098,Furniture,Spare Parts,Digital,Piece,18.86,LKR,45.18,EUR,695,76,405,False,True
Item 0099,Description for Item 0099,Consumables,Spare Parts,Perishable,Kilogram,892.91,USD,1532.8,EUR,1344,114,214,True,True
Item 0100,Description for Item 0100,Consumables,Spare Parts,Digital,Piece,202.49,GBP,338.65,LKR,1813,130,460,False,False
Item 0101,Description for Item 0101,Office Supplies,Spare Parts,Perishable,Liter,998.18,GBP,1906.71,EUR,1157,145,904,False,True
Item 0102,Description for Item 0102,Tools,Consumables,Digital,Piece,67.16,USD,95.7,EUR,653,119,392,True,False
Item 0103,Description for Item 0103,Consumables,Consumables,Digital,Kilogram,882.63,EUR,1096.55,USD,1051,147,910,False,True
Item 0104,Description for Item 0104,Office Supplies,Spare Parts,Perishable,Kilogram,607.67,EUR,869.41,LKR,782,115,315,False,False
Item 0105,Description for Item 0105,IT Equipment,Spare Parts,Digital,Liter,787.33,LKR,1149.04,EUR,1340,199,292,False,True
Item 0106,Description for Item 0106,Laboratory Equipment,Consumables,Non-Perishable,Piece,596.47,GBP,1172.81,GBP,1816,126,1447,False,False
Item 0107,Description for Item 0107,Electronics,Spare Parts,Non-Perishable,Liter,191.35,EUR,278.8,USD,889,149,521,False,False
Item 0108,Description for Item 0108,Electronics,Consumables,Digital,Liter,454.31,LKR,1071.52,EUR,1190,127,236,True,False
Item 0109,Description for Item 0109,Electronics,Spare Parts,Digital,Kilogram,143.64,GBP,346.35,LKR,1026,97,646,True,False
Item 0110,Description for Item 0110,Electronics,Spare Parts,Perishable,Meter,195.23,GBP,417.26,EUR,1909,173,1117,False,False
Item 0111,Description for Item 0111,Office Supplies,Consumables,Non-Perishable,Meter,113.8,EUR,234.74,LKR,1891,64,177,False,True
Item 0112,Description for Item 0112,Electronics,Spare Parts,Perishable,Liter,548.68,EUR,1347.81,LKR,1508,191,1056,True,True
Item 0113,Description for Item 0113,Medical Supplies,Consumables,Digital,Meter,995.37,USD,2244.36,LKR,1746,99,1222,False,True
Item 0114,Description for Item 0114,Tools,Consumables,Non-Perishable,Liter,263.2,USD,448.65,EUR,506,84,353,False,False
Item 0115,Description for Item 0115,Tools,Consumables,Non-Perishable,Liter,853.32,LKR,1748.42,LKR,995,97,528,False,False
Item 0116,Description for Item 0116,Manufacturing Parts,Consumables,Perishable,Liter,495.59,LKR,953.87,LKR,1689,142,797,True,True
Item 0117,Description for Item 0117,Electronics,Spare Parts,Digital,Meter,65.81,GBP,87.49,GBP,1696,56,866,False,True
Item 0118,Description for Item 0118,Medical Supplies,Spare Parts,Perishable,Meter,879.32,EUR,1175.96,GBP,1332,171,531,True,True
Item 0119,Description for Item 0119,Safety Equipment,Spare Parts,Perishable,Piece,330.79,GBP,457.97,USD,1143,79,611,False,False
Item 0120,Description for Item 0120,Office Supplies,Spare Parts,Non-Perishable,Meter,293.25,LKR,572.23,EUR,1351,118,1041,True,False
Item 0121,Description for Item 0121,Electronics,Consumables,Non-Perishable,Meter,197.79,GBP,366.27,EUR,721,57,186,True,True
Item 0122,Description for Item 0122,Laboratory Equipment,Spare Parts,Digital,Liter,938.47,EUR,1290.59,EUR,1856,168,835,True,True
Item 0123,Description for Item 0123,Laboratory Equipment,Consumables,Non-Perishable,Kilogram,498.31,EUR,853.77,USD,1779,197,1598,False,False
Item 0124,Description for Item 0124,Safety Equipment,Spare Parts,Non-Perishable,Kilogram,752.1,LKR,1756.82,EUR,986,200,864,True,False
Item 0125,Description for Item 0125,Manufacturing Parts,Consumables,Non-Perishable,Liter,186.77,LKR,268.68,LKR,570,121,353,True,False
Item 0126,Description for Item 0126,Office Supplies,Spare Parts,Digital,Piece,805.35,EUR,1342.84,LKR,1442,189,443,True,False
Item 0127,Description for Item 0127,IT Equipment,Consumables,Digital,Piece,127.65,USD,217.11,EUR,514,184,283,False,True
Item 0128,Description for Item 0128,Safety Equipment,Spare Parts,Non-Perishable,Liter,793.55,USD,1190.83,EUR,1200,113,552,False,False
Item 0129,Description for Item 0129,IT Equipment,Consumables,Digital,Liter,734.24,USD,1125.76,USD,1062,160,434,True,False
Item 0130,Description for Item 0130,Office Supplies,Consumables,Digital,Meter,490.16,USD,1064.23,GBP,778,178,428,True,True
Item 0131,Description for Item 0131,Furniture,Spare Parts,Perishable,Meter,268.65,EUR,640.77,EUR,1284,126,905,True,True
Item 0132,Description for Item 0132,Safety Equipment,Spare Parts,Non-Perishable,Piece,16.13,LKR,29.7,GBP,1665,166,917,False,True
Item 0133,Description for Item 0133,Safety Equipment,Spare Parts,Non-Perishable,Kilogram,233.0,USD,306.64,USD,1215,116,425,True,True
Item 0134,Description for Item 0134,Consumables,Consumables,Non-Perishable,Liter,891.59,GBP,1194.75,EUR,1717,55,580,True,False
Item 0135,Description for Item 0135,Laboratory Equipment,Consumables,Non-Perishable,Kilogram,264.69,GBP,481.42,GBP,1867,124,223,True,True
Item 0136,Description for Item 0136,Furniture,Spare Parts,Perishable,Piece,196.99,LKR,435.95,GBP,665,68,518,True,False
Item 0137,Description for Item 0137,Manufacturing Parts,Consumables,Digital,Piece,75.0,GBP,116.77,GBP,771,77,390,True,False
Item 0138,Description for Item 0138,Tools,Consumables,Perishable,Meter,316.07,EUR,471.39,GBP,637,155,306,True,True
Item 0139,Description for Item 0139,Office Supplies,Spare Parts,Digital,Kilogram,817.49,GBP,1549.18,USD,885,85,419,False,True
Item 0140,Description for Item 0140,Furniture,Spare Parts,Perishable,Liter,877.79,EUR,1458.37,LKR,1286,149,1067,True,False
Item 0141,Description for Item 0141,Electronics,Consumables,Perishable,Meter,289.9,LKR,545.08,EUR,1118,68,328,True,True
Item 0142,Description for Item 0142,Tools,Consumables,Digital,Kilogram,737.33,USD,1564.1,LKR,940,144,339,True,False
Item 0143,Description for Item 0143,Safety Equipment,Consumables,Non-Perishable,Piece,203.13,LKR,479.66,LKR,1385,57,567,True,False
Item 0144,Description for Item 0144,Electronics,Spare Parts,Non-Perishable,Kilogram,362.29,USD,792.49,EUR,1145,66,867,True,True
Item 0145,Description for Item 0145,Furniture,Spare Parts,Perishable,Piece,924.8,EUR,1642.98,EUR,1663,174,279,True,False
Item 0146,Description for Item 0146,Furniture,Consumables,Digital,Kilogram,981.73,EUR,1489.96,LKR,1443,63,993,True,False
Item 0147,Description for Item 0147,Medical Supplies,Consumables,Non-Perishable,Piece,389.38,LKR,767.07,USD,1915,192,607,False,True
Item 0148,Description for Item 0148,Safety Equipment,Consumables,Non-Perishable,Liter,38.19,USD,66.67,USD,1720,140,1033,True,False
Item 0149,Description for Item 0149,Laboratory Equipment,Consumables,Perishable,Kilogram,991.81,LKR,2193.57,EUR,776,118,667,True,True
Item 0150,Description for Item 0150,Laboratory Equipment,Spare Parts,Perishable,Meter,285.69,EUR,373.77,USD,712,192,577,True,False
Item 0151,Description for Item 0151,Furniture,Consumables,Perishable,Kilogram,112.42,EUR,262.16,LKR,1302,173,219,True,False
Item 0152,Description for Item 0152,Furniture,Consumables,Non-Perishable,Piece,679.5,USD,1512.06,LKR,1175,141,414,False,False
Item 0153,Description for Item 0153,Tools,Consumables,Non-Perishable,Meter,249.5,LKR,545.78,EUR,1172,170,717,False,False
Item 0154,Description for Item 0154,Medical Supplies,Spare Parts,Digital,Piece,482.58,GBP,903.09,LKR,1628,110,1041,False,True
Item 0155,Description for Item 0155,Safety Equipment,Consumables,Perishable,Meter,693.62,EUR,1660.33,EUR,1491,100,259,False,True
Item 0156,Description for Item 0156,IT Equipment,Spare Parts,Perishable,Kilogram,649.25,EUR,1251.66,EUR,928,66,491,True,True
Item 0157,Description for Item 0157,Tools,Spare Parts,Digital,Piece,103.79,USD,203.46,USD,1820,75,422,True,False
Item 0158,Description for Item 0158,Laboratory Equipment,Spare Parts,Digital,Kilogram,998.01,GBP,2159.31,LKR,724,101,392,False,True
Item 0159,Description for Item 0159,Manufacturing Parts,Spare Parts,Perishable,Piece,480.84,EUR,636.13,LKR,1866,151,872,False,True
Item 0160,Description for Item 0160,Office Supplies,Consumables,Perishable,Piece,340.04,USD,719.52,USD,1197,160,1095,True,True
Item 0161,Description for Item 0161,Office Supplies,Consumables,Digital,Liter,207.84,GBP,506.78,EUR,863,79,723,True,False
Item 0162,Description for Item 0162,Tools,Spare Parts,Digital,Meter,698.68,GBP,1572.93,LKR,656,151,162,False,True
Item 0163,Description for Item 0163,Tools,Spare Parts,Non-Perishable,Piece,345.66,EUR,738.58,USD,1698,171,679,True,True
Item 0164,Description for Item 0164,Consumables,Consumables,Non-Perishable,Liter,666.85,LKR,999.27,USD,594,149,451,True,True
Item 0165,Description for Item 0165,IT Equipment,Consumables,Perishable,Piece,905.36,USD,1661.11,EUR,937,87,714,False,True
Item 0166,Description for Item 0166,Manufacturing Parts,Consumables,Non-Perishable,Liter,157.01,LKR,246.64,GBP,780,192,410,True,False
Item 0167,Description for Item 0167,Furniture,Spare Parts,Perishable,Piece,279.41,EUR,630.43,EUR,970,58,66,True,False
Item 0168,Description for Item 0168,IT Equipment,Spare Parts,Perishable,Liter,108.74,LKR,264.07,GBP,685,64,427,False,True
Item 0169,Description for Item 0169,Manufacturing Parts,Spare Parts,Digital,Meter,404.79,USD,711.24,LKR,1491,79,1229,True,False
Item 0170,Description for Item 0170,Laboratory Equipment,Consumables,Digital,Piece,613.55,LKR,936.15,GBP,1821,118,1529,True,True
Item 0171,Description for Item 0171,Consumables,Spare Parts,Non-Perishable,Meter,499.09,USD,1019.51,EUR,1994,184,393,True,False
Item 0172,Description for Item 0172,Manufacturing Parts,Spare Parts,Perishable,Piece,624.42,GBP,1382.23,EUR,594,81,186,False,False
Item 0173,Description for Item 0173,IT Equipment,Spare Parts,Digital,Kilogram,94.42,EUR,172.49,USD,511,143,390,True,False
Item 0174,Description for Item 0174,Laboratory Equipment,Spare Parts,Perishable,Liter,302.59,EUR,497.72,EUR,1036,141,908,False,False
Item 0175,Description for Item 0175,Office Supplies,Consumables,Perishable,Liter,725.37,USD,1324.8,USD,967,124,134,True,False
Item 0176,Description for Item 0176,Office Supplies,Consumables,Digital,Liter,127.33,GBP,305.4,GBP,1027,172,711,False,True
Item 0177,Description for Item 0177,Tools,Spare Parts,Non-Perishable,Liter,134.43,GBP,191.17,LKR,787,198,387,True,True
Item 0178,Description for Item 0178,Consumables,Spare Parts,Perishable,Kilogram,357.7,GBP,827.56,GBP,873,158,289,True,False
Item 0179,Description for Item 0179,Manufacturing Parts,Spare Parts,Perishable,Meter,683.88,USD,927.13,USD,1671,99,234,False,True
Item 0180,Description for Item 0180,Manufacturing Parts,Consumables,Non-Perishable,Meter,196.34,EUR,324.67,USD,1804,193,1679,False,False
Item 0181,Description for Item 0181,Safety Equipment,Consumables,Digital,Piece,731.52,USD,1642.17,GBP,1187,158,897,False,True
Item 0182,Description for Item 0182,Office Supplies,Consumables,Perishable,Piece,647.89,GBP,1124.31,EUR,912,112,754,True,False
Item 0183,Description for Item 0183,Laboratory Equipment,Consumables,Digital,Kilogram,939.7,USD,1923.01,GBP,1995,80,1862,False,False
Item 0184,Description for Item 0184,Electronics,Spare Parts,Digital,Liter,511.75,EUR,1120.86,LKR,682,159,427,False,False
Item 0185,Description for Item 0185,Consumables,Consumables,Non-Perishable,Liter,184.35,GBP,355.35,GBP,965,51,766,True,True
Item 0186,Description for Item 0186,IT Equipment,Spare Parts,Perishable,Meter,969.37,EUR,2173.12,GBP,1414,155,406,True,True
Item 0187,Description for Item 0187,Medical Supplies,Consumables,Digital,Liter,211.01,EUR,282.01,USD,1927,109,425,False,True
Item 0188,Description for Item 0188,Furniture,Spare Parts,Perishable,Meter,410.02,GBP,510.77,USD,769,132,568,False,False
Item 0189,Description for Item 0189,Furniture,Spare Parts,Digital,Kilogram,297.17,GBP,390.0,USD,1298,142,157,False,True
Item 0190,Description for Item 0190,Office Supplies,Spare Parts,Digital,Piece,129.33,LKR,288.96,LKR,806,129,368,True,False
Item 0191,Description for Item 0191,Tools,Consumables,Perishable,Kilogram,761.36,EUR,1269.61,USD,1795,73,1256,False,False
Item 0192,Description for Item 0192,Manufacturing Parts,Spare Parts,Perishable,Meter,589.46,EUR,850.26,GBP,1560,88,222,False,True
Item 0193,Description for Item 0193,Manufacturing Parts,Spare Parts,Digital,Liter,222.77,LKR,351.8,GBP,1074,158,820,False,False
Item 0194,Description for Item 0194,Manufacturing Parts,Consumables,Digital,Liter,248.28,EUR,391.8,EUR,926,58,809,True,False
Item 0195,Description for Item 0195,Furniture,Spare Parts,Perishable,Kilogram,719.89,EUR,1610.86,USD,720,144,178,False,True
Item 0196,Description for Item 0196,Consumables,Consumables,Digital,Kilogram,275.77,USD,354.9,GBP,1463,87,1053,False,False
Item 0197,Description for Item 0197,IT Equipment,Consumables,Digital,Kilogram,958.96,USD,1277.56,GBP,552,186,440,False,False
Item 0198,Description for Item 0198,Medical Supplies,Spare Parts,Perishable,Kilogram,313.9,USD,565.11,GBP,1501,67,474,False,True
Item 0199,Description for Item 0199,Laboratory Equipment,Consumables,Non-Perishable,Liter,209.04,EUR,476.75,EUR,678,102,290,False,False
Item 0200,Description for Item 0200,Consumables,Spare Parts,Non-Perishable,Liter,241.64,LKR,560.47,LKR,1801,141,550,False,True
Item 0201,Description for Item 0201,Office Supplies,Spare Parts,Non-Perishable,Piece,311.17,LKR,747.9,USD,1446,63,543,True,True
Item 0202,Description for Item 0202,Medical Supplies,Consumables,Perishable,Liter,870.72,USD,1950.53,LKR,595,114,191,True,False
Item 0203,Description for Item 0203,IT Equipment,Spare Parts,Digital,Liter,140.03,GBP,346.76,USD,662,159,166,True,True
Item 0204,Description for Item 0204,Tools,Consumables,Digital,Liter,179.23,GBP,326.29,EUR,1421,177,315,True,False
Item 0205,Description for Item 0205,Tools,Spare Parts,Digital,Liter,493.12,EUR,1210.78,LKR,1704,92,734,False,False
Item 0206,Description for Item 0206,Electronics,Spare Parts,Perishable,Liter,775.59,USD,1659.3,EUR,1109,132,303,True,False
Item 0207,Description for Item 0207,Furniture,Consumables,Non-Perishable,Kilogram,113.87,LKR,244.41,EUR,1863,148,1118,False,False
Item 0208,Description for Item 0208,Manufacturing Parts,Spare Parts,Digital,Meter,601.64,LKR,1247.89,USD,559,140,197,False,True
Item 0209,Description for Item 0209,Office Supplies,Consumables,Digital,Kilogram,406.02,LKR,844.63,USD,1561,200,1113,True,False
Item 0210,Description for Item 0210,Office Supplies,Spare Parts,Digital,Kilogram,656.0,GBP,1111.74,LKR,602,133,204,False,False
Item 0211,Description for Item 0211,Office Supplies,Spare Parts,Non-Perishable,Liter,878.69,EUR,2090.96,LKR,886,109,298,True,False
Item 0212,Description for Item 0212,Safety Equipment,Consumables,Non-Perishable,Piece,472.77,EUR,910.39,USD,892,89,705,True,False
Item 0213,Description for Item 0213,Office Supplies,Spare Parts,Digital,Meter,599.07,USD,1209.08,USD,1927,82,377,False,True
