name,asset_type_name,category_name,sub_category_name,asset_description,asset_details
Asset 00011,Intangible assets,Machinery,Monitors,"Description for Asset 00011, Intangible assets in Machinery category","[{""details"": ""Standard configuration with all required components"", ""detailtype"": ""Installation""}, {""details"": ""Extended warranty coverage included"", ""detailtype"": ""Configuration""}, {""details"": ""Professional installation and setup completed"", ""detailtype"": ""Warranty Info""}]"
Asset 00012,Operating assets,Electronics,Printers,"Description for Asset 00012, Operating assets in Electronics category","[{""details"": ""Professional installation and setup completed"", ""detailtype"": ""Installation""}, {""details"": ""Extended warranty coverage included"", ""detailtype"": ""Installation""}, {""details"": ""Compatible with existing infrastructure"", ""detailtype"": ""Installation""}]"
Asset 00013,Fixed assets,Machinery,Tablets,"Description for Asset 00013, Fixed assets in Machinery category","[{""details"": ""Standard configuration with all required components"", ""detailtype"": ""Configuration""}, {""details"": ""Professional installation and setup completed"", ""detailtype"": ""Warranty Info""}]"
Asset 00014,Operating assets,Tools,Switches,"Description for Asset 00014, Operating assets in Tools category","[{""details"": ""Certified by manufacturer"", ""detailtype"": ""Specification""}]"
Asset 00015,Tangible assets,Vehicles,Printers,"Description for Asset 00015, Tangible assets in Vehicles category","[{""details"": ""Professional installation and setup completed"", ""detailtype"": ""Maintenance""}, {""details"": ""Standard configuration with all required components"", ""detailtype"": ""Configuration""}, {""details"": ""Professional installation and setup completed"", ""detailtype"": ""Configuration""}]"
Asset 00016,Tangible assets,Office Equipment,Routers,"Description for Asset 00016, Tangible assets in Office Equipment category","[{""details"": ""Certified by manufacturer"", ""detailtype"": ""Maintenance""}]"
Asset 00017,Fixed assets,IT Equipment,Printers,"Description for Asset 00017, Fixed assets in IT Equipment category","[{""details"": ""Compliant with industry standards"", ""detailtype"": ""License""}, {""details"": ""Optimized for performance"", ""detailtype"": ""Warranty Info""}]"
Asset 00018,Fixed assets,Tools,Tablets,"Description for Asset 00018, Fixed assets in Tools category","[{""details"": ""Energy efficient model"", ""detailtype"": ""Specification""}]"
Asset 00019,Fixed assets,Furniture,Phones,"Description for Asset 00019, Fixed assets in Furniture category","[{""details"": ""Licensed for enterprise use"", ""detailtype"": ""Installation""}]"
Asset 00020,Fixed assets,Tools,Desktops,"Description for Asset 00020, Fixed assets in Tools category","[{""details"": ""Compliant with industry standards"", ""detailtype"": ""Warranty Info""}, {""details"": ""Energy efficient model"", ""detailtype"": ""Maintenance""}, {""details"": ""Professional installation and setup completed"", ""detailtype"": ""Installation""}]"
Asset 00021,Current assets,IT Equipment,Tablets,"Description for Asset 00021, Current assets in IT Equipment category","[{""details"": ""Standard configuration with all required components"", ""detailtype"": ""Configuration""}, {""details"": ""Compliant with industry standards"", ""detailtype"": ""License""}]"
Asset 00022,Non-operating assets,Electronics,Monitors,"Description for Asset 00022, Non-operating assets in Electronics category","[{""details"": ""Professional installation and setup completed"", ""detailtype"": ""Installation""}, {""details"": ""Standard configuration with all required components"", ""detailtype"": ""Warranty Info""}, {""details"": ""Extended warranty coverage included"", ""detailtype"": ""Specification""}]"
Asset 00023,Operating assets,Vehicles,Desktops,"Description for Asset 00023, Operating assets in Vehicles category","[{""details"": ""Standard configuration with all required components"", ""detailtype"": ""Specification""}, {""details"": ""Certified by manufacturer"", ""detailtype"": ""Maintenance""}, {""details"": ""Standard configuration with all required components"", ""detailtype"": ""Specification""}]"
Asset 00024,Current assets,Electronics,Printers,"Description for Asset 00024, Current assets in Electronics category","[{""details"": ""Certified by manufacturer"", ""detailtype"": ""Maintenance""}, {""details"": ""Licensed for enterprise use"", ""detailtype"": ""Specification""}, {""details"": ""Standard configuration with all required components"", ""detailtype"": ""Installation""}]"
Asset 00025,Fixed assets,Tools,Routers,"Description for Asset 00025, Fixed assets in Tools category","[{""details"": ""Regular maintenance schedule established"", ""detailtype"": ""Maintenance""}]"
Asset 00026,Tangible assets,Vehicles,Phones,"Description for Asset 00026, Tangible assets in Vehicles category","[{""details"": ""Licensed for enterprise use"", ""detailtype"": ""Warranty Info""}]"
Asset 00027,Intangible assets,Machinery,Phones,"Description for Asset 00027, Intangible assets in Machinery category","[{""details"": ""Standard configuration with all required components"", ""detailtype"": ""Maintenance""}]"
Asset 00028,Operating assets,Electronics,Printers,"Description for Asset 00028, Operating assets in Electronics category","[{""details"": ""Optimized for performance"", ""detailtype"": ""Installation""}, {""details"": ""Certified by manufacturer"", ""detailtype"": ""Specification""}]"
Asset 00029,Operating assets,Electronics,Tablets,"Description for Asset 00029, Operating assets in Electronics category","[{""details"": ""Professional installation and setup completed"", ""detailtype"": ""Maintenance""}]"
Asset 00030,Tangible assets,Electronics,Laptops,"Description for Asset 00030, Tangible assets in Electronics category","[{""details"": ""Licensed for enterprise use"", ""detailtype"": ""Maintenance""}, {""details"": ""Certified by manufacturer"", ""detailtype"": ""Installation""}]"
Asset 00031,Fixed assets,Machinery,Desktops,"Description for Asset 00031, Fixed assets in Machinery category","[{""details"": ""Standard configuration with all required components"", ""detailtype"": ""Configuration""}, {""details"": ""Regular maintenance schedule established"", ""detailtype"": ""Warranty Info""}]"
Asset 00032,Non-operating assets,Machinery,Routers,"Description for Asset 00032, Non-operating assets in Machinery category","[{""details"": ""Standard configuration with all required components"", ""detailtype"": ""License""}]"
Asset 00033,Operating assets,Furniture,Phones,"Description for Asset 00033, Operating assets in Furniture category","[{""details"": ""Licensed for enterprise use"", ""detailtype"": ""Configuration""}, {""details"": ""Compatible with existing infrastructure"", ""detailtype"": ""Configuration""}]"
Asset 00034,Fixed assets,IT Equipment,Phones,"Description for Asset 00034, Fixed assets in IT Equipment category","[{""details"": ""Professional installation and setup completed"", ""detailtype"": ""License""}, {""details"": ""Licensed for enterprise use"", ""detailtype"": ""Specification""}, {""details"": ""Certified by manufacturer"", ""detailtype"": ""Configuration""}]"
Asset 00035,Non-operating assets,Furniture,Printers,"Description for Asset 00035, Non-operating assets in Furniture category","[{""details"": ""Regular maintenance schedule established"", ""detailtype"": ""Configuration""}, {""details"": ""Standard configuration with all required components"", ""detailtype"": ""Maintenance""}, {""details"": ""Licensed for enterprise use"", ""detailtype"": ""Warranty Info""}]"
Asset 00036,Intangible assets,Office Equipment,Switches,"Description for Asset 00036, Intangible assets in Office Equipment category","[{""details"": ""Professional installation and setup completed"", ""detailtype"": ""Maintenance""}]"
Asset 00037,Operating assets,Office Equipment,Printers,"Description for Asset 00037, Operating assets in Office Equipment category","[{""details"": ""Energy efficient model"", ""detailtype"": ""Installation""}, {""details"": ""Certified by manufacturer"", ""detailtype"": ""Installation""}, {""details"": ""Compliant with industry standards"", ""detailtype"": ""Maintenance""}]"
Asset 00038,Tangible assets,Furniture,Switches,"Description for Asset 00038, Tangible assets in Furniture category","[{""details"": ""Compatible with existing infrastructure"", ""detailtype"": ""License""}, {""details"": ""Compliant with industry standards"", ""detailtype"": ""License""}]"
Asset 00039,Non-operating assets,Office Equipment,Routers,"Description for Asset 00039, Non-operating assets in Office Equipment category","[{""details"": ""Compliant with industry standards"", ""detailtype"": ""License""}, {""details"": ""Licensed for enterprise use"", ""detailtype"": ""Specification""}, {""details"": ""Standard configuration with all required components"", ""detailtype"": ""Installation""}]"
Asset 00040,Current assets,Software,Monitors,"Description for Asset 00040, Current assets in Software category","[{""details"": ""Licensed for enterprise use"", ""detailtype"": ""Specification""}, {""details"": ""Regular maintenance schedule established"", ""detailtype"": ""License""}]"
Asset 00041,Operating assets,Network Equipment,Routers,"Description for Asset 00041, Operating assets in Network Equipment category","[{""details"": ""Professional installation and setup completed"", ""detailtype"": ""License""}]"
Asset 00042,Non-operating assets,Network Equipment,Routers,"Description for Asset 00042, Non-operating assets in Network Equipment category","[{""details"": ""Professional installation and setup completed"", ""detailtype"": ""Specification""}, {""details"": ""Certified by manufacturer"", ""detailtype"": ""Installation""}, {""details"": ""Compliant with industry standards"", ""detailtype"": ""Installation""}]"
Asset 00043,Tangible assets,Network Equipment,Laptops,"Description for Asset 00043, Tangible assets in Network Equipment category","[{""details"": ""Regular maintenance schedule established"", ""detailtype"": ""License""}, {""details"": ""Optimized for performance"", ""detailtype"": ""Installation""}, {""details"": ""Compliant with industry standards"", ""detailtype"": ""Configuration""}]"
Asset 00044,Non-operating assets,Electronics,Servers,"Description for Asset 00044, Non-operating assets in Electronics category","[{""details"": ""Certified by manufacturer"", ""detailtype"": ""License""}]"
Asset 00045,Intangible assets,Office Equipment,Printers,"Description for Asset 00045, Intangible assets in Office Equipment category","[{""details"": ""Energy efficient model"", ""detailtype"": ""Maintenance""}]"
Asset 00046,Intangible assets,IT Equipment,Monitors,"Description for Asset 00046, Intangible assets in IT Equipment category","[{""details"": ""Extended warranty coverage included"", ""detailtype"": ""Maintenance""}, {""details"": ""Energy efficient model"", ""detailtype"": ""Configuration""}, {""details"": ""Optimized for performance"", ""detailtype"": ""Warranty Info""}]"
Asset 00047,Non-operating assets,Electronics,Laptops,"Description for Asset 00047, Non-operating assets in Electronics category","[{""details"": ""Compatible with existing infrastructure"", ""detailtype"": ""Installation""}, {""details"": ""Regular maintenance schedule established"", ""detailtype"": ""Specification""}, {""details"": ""Energy efficient model"", ""detailtype"": ""Configuration""}]"
Asset 00048,Current assets,IT Equipment,Tablets,"Description for Asset 00048, Current assets in IT Equipment category","[{""details"": ""Compliant with industry standards"", ""detailtype"": ""Installation""}, {""details"": ""Regular maintenance schedule established"", ""detailtype"": ""Warranty Info""}, {""details"": ""Professional installation and setup completed"", ""detailtype"": ""Maintenance""}]"
Asset 00049,Tangible assets,Machinery,Desktops,"Description for Asset 00049, Tangible assets in Machinery category","[{""details"": ""Compatible with existing infrastructure"", ""detailtype"": ""Warranty Info""}, {""details"": ""Licensed for enterprise use"", ""detailtype"": ""Specification""}, {""details"": ""Optimized for performance"", ""detailtype"": ""Installation""}]"
Asset 00050,Intangible assets,Tools,Monitors,"Description for Asset 00050, Intangible assets in Tools category","[{""details"": ""Standard configuration with all required components"", ""detailtype"": ""Maintenance""}, {""details"": ""Certified by manufacturer"", ""detailtype"": ""Warranty Info""}, {""details"": ""Compatible with existing infrastructure"", ""detailtype"": ""Specification""}]"
Asset 00051,Non-operating assets,Tools,Phones,"Description for Asset 00051, Non-operating assets in Tools category","[{""details"": ""Compliant with industry standards"", ""detailtype"": ""Warranty Info""}]"
Asset 00052,Fixed assets,Machinery,Laptops,"Description for Asset 00052, Fixed assets in Machinery category","[{""details"": ""Optimized for performance"", ""detailtype"": ""Specification""}]"
Asset 00053,Tangible assets,Furniture,Routers,"Description for Asset 00053, Tangible assets in Furniture category","[{""details"": ""Standard configuration with all required components"", ""detailtype"": ""Specification""}]"
Asset 00054,Current assets,Vehicles,Desktops,"Description for Asset 00054, Current assets in Vehicles category","[{""details"": ""Regular maintenance schedule established"", ""detailtype"": ""Configuration""}, {""details"": ""Extended warranty coverage included"", ""detailtype"": ""Maintenance""}, {""details"": ""Standard configuration with all required components"", ""detailtype"": ""Maintenance""}]"
Asset 00055,Non-operating assets,Vehicles,Laptops,"Description for Asset 00055, Non-operating assets in Vehicles category","[{""details"": ""Extended warranty coverage included"", ""detailtype"": ""Installation""}]"
Asset 00056,Current assets,Furniture,Servers,"Description for Asset 00056, Current assets in Furniture category","[{""details"": ""Regular maintenance schedule established"", ""detailtype"": ""Maintenance""}]"
Asset 00057,Fixed assets,IT Equipment,Tablets,"Description for Asset 00057, Fixed assets in IT Equipment category","[{""details"": ""Professional installation and setup completed"", ""detailtype"": ""Configuration""}]"
Asset 00058,Intangible assets,Machinery,Switches,"Description for Asset 00058, Intangible assets in Machinery category","[{""details"": ""Regular maintenance schedule established"", ""detailtype"": ""License""}, {""details"": ""Regular maintenance schedule established"", ""detailtype"": ""Configuration""}, {""details"": ""Compatible with existing infrastructure"", ""detailtype"": ""Warranty Info""}]"
Asset 00059,Fixed assets,Network Equipment,Laptops,"Description for Asset 00059, Fixed assets in Network Equipment category","[{""details"": ""Standard configuration with all required components"", ""detailtype"": ""License""}]"
Asset 00060,Current assets,IT Equipment,Desktops,"Description for Asset 00060, Current assets in IT Equipment category","[{""details"": ""Compliant with industry standards"", ""detailtype"": ""Specification""}, {""details"": ""Certified by manufacturer"", ""detailtype"": ""Maintenance""}]"
Asset 00061,Fixed assets,Software,Switches,"Description for Asset 00061, Fixed assets in Software category","[{""details"": ""Compliant with industry standards"", ""detailtype"": ""Installation""}]"
Asset 00062,Tangible assets,Network Equipment,Tablets,"Description for Asset 00062, Tangible assets in Network Equipment category","[{""details"": ""Professional installation and setup completed"", ""detailtype"": ""Warranty Info""}]"
Asset 00063,Non-operating assets,Network Equipment,Phones,"Description for Asset 00063, Non-operating assets in Network Equipment category","[{""details"": ""Optimized for performance"", ""detailtype"": ""Warranty Info""}, {""details"": ""Energy efficient model"", ""detailtype"": ""Warranty Info""}, {""details"": ""Compatible with existing infrastructure"", ""detailtype"": ""Warranty Info""}]"
Asset 00064,Non-operating assets,Furniture,Desktops,"Description for Asset 00064, Non-operating assets in Furniture category","[{""details"": ""Energy efficient model"", ""detailtype"": ""Maintenance""}, {""details"": ""Professional installation and setup completed"", ""detailtype"": ""Installation""}, {""details"": ""Energy efficient model"", ""detailtype"": ""License""}]"
Asset 00065,Current assets,IT Equipment,Monitors,"Description for Asset 00065, Current assets in IT Equipment category","[{""details"": ""Extended warranty coverage included"", ""detailtype"": ""Maintenance""}]"
Asset 00066,Current assets,Electronics,Phones,"Description for Asset 00066, Current assets in Electronics category","[{""details"": ""Energy efficient model"", ""detailtype"": ""Maintenance""}]"
Asset 00067,Current assets,Machinery,Desktops,"Description for Asset 00067, Current assets in Machinery category","[{""details"": ""Compatible with existing infrastructure"", ""detailtype"": ""Specification""}, {""details"": ""Compliant with industry standards"", ""detailtype"": ""License""}, {""details"": ""Licensed for enterprise use"", ""detailtype"": ""Maintenance""}]"
Asset 00068,Current assets,Machinery,Printers,"Description for Asset 00068, Current assets in Machinery category","[{""details"": ""Compatible with existing infrastructure"", ""detailtype"": ""Maintenance""}, {""details"": ""Extended warranty coverage included"", ""detailtype"": ""Configuration""}, {""details"": ""Compliant with industry standards"", ""detailtype"": ""Maintenance""}]"
Asset 00069,Non-operating assets,Office Equipment,Monitors,"Description for Asset 00069, Non-operating assets in Office Equipment category","[{""details"": ""Regular maintenance schedule established"", ""detailtype"": ""License""}]"
Asset 00070,Current assets,Software,Laptops,"Description for Asset 00070, Current assets in Software category","[{""details"": ""Compliant with industry standards"", ""detailtype"": ""Specification""}, {""details"": ""Regular maintenance schedule established"", ""detailtype"": ""Warranty Info""}, {""details"": ""Standard configuration with all required components"", ""detailtype"": ""License""}]"
Asset 00071,Tangible assets,Network Equipment,Tablets,"Description for Asset 00071, Tangible assets in Network Equipment category","[{""details"": ""Professional installation and setup completed"", ""detailtype"": ""Specification""}, {""details"": ""Standard configuration with all required components"", ""detailtype"": ""Maintenance""}]"
Asset 00072,Current assets,Software,Tablets,"Description for Asset 00072, Current assets in Software category","[{""details"": ""Regular maintenance schedule established"", ""detailtype"": ""Warranty Info""}, {""details"": ""Optimized for performance"", ""detailtype"": ""Warranty Info""}, {""details"": ""Compliant with industry standards"", ""detailtype"": ""Configuration""}]"
Asset 00073,Fixed assets,Vehicles,Switches,"Description for Asset 00073, Fixed assets in Vehicles category","[{""details"": ""Regular maintenance schedule established"", ""detailtype"": ""Maintenance""}]"
Asset 00074,Non-operating assets,Software,Tablets,"Description for Asset 00074, Non-operating assets in Software category","[{""details"": ""Standard configuration with all required components"", ""detailtype"": ""Warranty Info""}]"
Asset 00075,Current assets,Tools,Tablets,"Description for Asset 00075, Current assets in Tools category","[{""details"": ""Optimized for performance"", ""detailtype"": ""Specification""}, {""details"": ""Certified by manufacturer"", ""detailtype"": ""Installation""}]"
Asset 00076,Current assets,Machinery,Phones,"Description for Asset 00076, Current assets in Machinery category","[{""details"": ""Extended warranty coverage included"", ""detailtype"": ""Configuration""}, {""details"": ""Compliant with industry standards"", ""detailtype"": ""Configuration""}, {""details"": ""Compatible with existing infrastructure"", ""detailtype"": ""Specification""}]"
Asset 00077,Operating assets,Vehicles,Desktops,"Description for Asset 00077, Operating assets in Vehicles category","[{""details"": ""Regular maintenance schedule established"", ""detailtype"": ""Specification""}, {""details"": ""Professional installation and setup completed"", ""detailtype"": ""Configuration""}, {""details"": ""Certified by manufacturer"", ""detailtype"": ""Installation""}]"
Asset 00078,Non-operating assets,Tools,Desktops,"Description for Asset 00078, Non-operating assets in Tools category","[{""details"": ""Certified by manufacturer"", ""detailtype"": ""Installation""}, {""details"": ""Optimized for performance"", ""detailtype"": ""Installation""}]"
Asset 00079,Fixed assets,Tools,Laptops,"Description for Asset 00079, Fixed assets in Tools category","[{""details"": ""Licensed for enterprise use"", ""detailtype"": ""Installation""}, {""details"": ""Professional installation and setup completed"", ""detailtype"": ""License""}, {""details"": ""Licensed for enterprise use"", ""detailtype"": ""Maintenance""}]"
Asset 00080,Fixed assets,IT Equipment,Servers,"Description for Asset 00080, Fixed assets in IT Equipment category","[{""details"": ""Compliant with industry standards"", ""detailtype"": ""Specification""}]"
Asset 00081,Fixed assets,Furniture,Laptops,"Description for Asset 00081, Fixed assets in Furniture category","[{""details"": ""Optimized for performance"", ""detailtype"": ""Maintenance""}]"
Asset 00082,Tangible assets,Furniture,Printers,"Description for Asset 00082, Tangible assets in Furniture category","[{""details"": ""Certified by manufacturer"", ""detailtype"": ""License""}, {""details"": ""Compatible with existing infrastructure"", ""detailtype"": ""Maintenance""}, {""details"": ""Licensed for enterprise use"", ""detailtype"": ""Installation""}]"
Asset 00083,Current assets,Furniture,Phones,"Description for Asset 00083, Current assets in Furniture category","[{""details"": ""Compatible with existing infrastructure"", ""detailtype"": ""Specification""}, {""details"": ""Extended warranty coverage included"", ""detailtype"": ""Installation""}, {""details"": ""Extended warranty coverage included"", ""detailtype"": ""Warranty Info""}]"
Asset 00084,Fixed assets,Office Equipment,Desktops,"Description for Asset 00084, Fixed assets in Office Equipment category","[{""details"": ""Compliant with industry standards"", ""detailtype"": ""License""}, {""details"": ""Compatible with existing infrastructure"", ""detailtype"": ""License""}]"
Asset 00085,Current assets,Software,Desktops,"Description for Asset 00085, Current assets in Software category","[{""details"": ""Standard configuration with all required components"", ""detailtype"": ""License""}, {""details"": ""Certified by manufacturer"", ""detailtype"": ""Warranty Info""}, {""details"": ""Certified by manufacturer"", ""detailtype"": ""Maintenance""}]"
Asset 00086,Intangible assets,Machinery,Switches,"Description for Asset 00086, Intangible assets in Machinery category","[{""details"": ""Optimized for performance"", ""detailtype"": ""Configuration""}]"
Asset 00087,Current assets,Vehicles,Switches,"Description for Asset 00087, Current assets in Vehicles category","[{""details"": ""Standard configuration with all required components"", ""detailtype"": ""Configuration""}, {""details"": ""Professional installation and setup completed"", ""detailtype"": ""Installation""}]"
Asset 00088,Tangible assets,Tools,Monitors,"Description for Asset 00088, Tangible assets in Tools category","[{""details"": ""Energy efficient model"", ""detailtype"": ""Installation""}]"
Asset 00089,Non-operating assets,Vehicles,Tablets,"Description for Asset 00089, Non-operating assets in Vehicles category","[{""details"": ""Extended warranty coverage included"", ""detailtype"": ""Configuration""}]"
Asset 00090,Intangible assets,Vehicles,Servers,"Description for Asset 00090, Intangible assets in Vehicles category","[{""details"": ""Regular maintenance schedule established"", ""detailtype"": ""Configuration""}]"
Asset 00091,Current assets,Software,Servers,"Description for Asset 00091, Current assets in Software category","[{""details"": ""Compliant with industry standards"", ""detailtype"": ""Specification""}, {""details"": ""Compliant with industry standards"", ""detailtype"": ""Installation""}]"
Asset 00092,Non-operating assets,Tools,Desktops,"Description for Asset 00092, Non-operating assets in Tools category","[{""details"": ""Licensed for enterprise use"", ""detailtype"": ""Installation""}, {""details"": ""Optimized for performance"", ""detailtype"": ""Maintenance""}, {""details"": ""Professional installation and setup completed"", ""detailtype"": ""Maintenance""}]"
Asset 00093,Non-operating assets,Software,Laptops,"Description for Asset 00093, Non-operating assets in Software category","[{""details"": ""Optimized for performance"", ""detailtype"": ""Configuration""}, {""details"": ""Standard configuration with all required components"", ""detailtype"": ""Warranty Info""}, {""details"": ""Optimized for performance"", ""detailtype"": ""Warranty Info""}]"
Asset 00094,Fixed assets,Tools,Switches,"Description for Asset 00094, Fixed assets in Tools category","[{""details"": ""Optimized for performance"", ""detailtype"": ""Installation""}, {""details"": ""Professional installation and setup completed"", ""detailtype"": ""Installation""}]"
Asset 00095,Intangible assets,Machinery,Servers,"Description for Asset 00095, Intangible assets in Machinery category","[{""details"": ""Licensed for enterprise use"", ""detailtype"": ""Configuration""}]"
Asset 00096,Intangible assets,Furniture,Routers,"Description for Asset 00096, Intangible assets in Furniture category","[{""details"": ""Energy efficient model"", ""detailtype"": ""License""}, {""details"": ""Certified by manufacturer"", ""detailtype"": ""Specification""}, {""details"": ""Compliant with industry standards"", ""detailtype"": ""Configuration""}]"
Asset 00097,Current assets,Office Equipment,Monitors,"Description for Asset 00097, Current assets in Office Equipment category","[{""details"": ""Extended warranty coverage included"", ""detailtype"": ""Specification""}]"
Asset 00098,Fixed assets,Furniture,Laptops,"Description for Asset 00098, Fixed assets in Furniture category","[{""details"": ""Standard configuration with all required components"", ""detailtype"": ""License""}]"
Asset 00099,Non-operating assets,Network Equipment,Switches,"Description for Asset 00099, Non-operating assets in Network Equipment category","[{""details"": ""Professional installation and setup completed"", ""detailtype"": ""Warranty Info""}]"
Asset 00100,Tangible assets,IT Equipment,Desktops,"Description for Asset 00100, Tangible assets in IT Equipment category","[{""details"": ""Regular maintenance schedule established"", ""detailtype"": ""Warranty Info""}]"
Asset 00101,Fixed assets,IT Equipment,Laptops,"Description for Asset 00101, Fixed assets in IT Equipment category","[{""details"": ""Certified by manufacturer"", ""detailtype"": ""Maintenance""}, {""details"": ""Extended warranty coverage included"", ""detailtype"": ""Configuration""}, {""details"": ""Regular maintenance schedule established"", ""detailtype"": ""Warranty Info""}]"
Asset 00102,Non-operating assets,Network Equipment,Switches,"Description for Asset 00102, Non-operating assets in Network Equipment category","[{""details"": ""Extended warranty coverage included"", ""detailtype"": ""Installation""}, {""details"": ""Certified by manufacturer"", ""detailtype"": ""Configuration""}]"
Asset 00103,Fixed assets,Vehicles,Servers,"Description for Asset 00103, Fixed assets in Vehicles category","[{""details"": ""Compliant with industry standards"", ""detailtype"": ""Warranty Info""}, {""details"": ""Compatible with existing infrastructure"", ""detailtype"": ""Warranty Info""}]"
Asset 00104,Operating assets,Network Equipment,Phones,"Description for Asset 00104, Operating assets in Network Equipment category","[{""details"": ""Certified by manufacturer"", ""detailtype"": ""License""}, {""details"": ""Optimized for performance"", ""detailtype"": ""Configuration""}, {""details"": ""Optimized for performance"", ""detailtype"": ""Configuration""}]"
Asset 00105,Fixed assets,Vehicles,Switches,"Description for Asset 00105, Fixed assets in Vehicles category","[{""details"": ""Regular maintenance schedule established"", ""detailtype"": ""Specification""}, {""details"": ""Compliant with industry standards"", ""detailtype"": ""Installation""}, {""details"": ""Compatible with existing infrastructure"", ""detailtype"": ""Specification""}]"
Asset 00106,Operating assets,Electronics,Printers,"Description for Asset 00106, Operating assets in Electronics category","[{""details"": ""Licensed for enterprise use"", ""detailtype"": ""Configuration""}, {""details"": ""Licensed for enterprise use"", ""detailtype"": ""Configuration""}]"
Asset 00107,Current assets,Machinery,Monitors,"Description for Asset 00107, Current assets in Machinery category","[{""details"": ""Standard configuration with all required components"", ""detailtype"": ""Warranty Info""}, {""details"": ""Compatible with existing infrastructure"", ""detailtype"": ""Maintenance""}]"
Asset 00108,Tangible assets,Electronics,Tablets,"Description for Asset 00108, Tangible assets in Electronics category","[{""details"": ""Compliant with industry standards"", ""detailtype"": ""Maintenance""}, {""details"": ""Energy efficient model"", ""detailtype"": ""Warranty Info""}, {""details"": ""Regular maintenance schedule established"", ""detailtype"": ""Configuration""}]"
Asset 00109,Intangible assets,Tools,Desktops,"Description for Asset 00109, Intangible assets in Tools category","[{""details"": ""Regular maintenance schedule established"", ""detailtype"": ""Maintenance""}, {""details"": ""Regular maintenance schedule established"", ""detailtype"": ""Warranty Info""}]"
Asset 00110,Non-operating assets,Software,Laptops,"Description for Asset 00110, Non-operating assets in Software category","[{""details"": ""Compliant with industry standards"", ""detailtype"": ""License""}, {""details"": ""Certified by manufacturer"", ""detailtype"": ""Configuration""}, {""details"": ""Professional installation and setup completed"", ""detailtype"": ""License""}]"
Asset 00111,Tangible assets,Network Equipment,Printers,"Description for Asset 00111, Tangible assets in Network Equipment category","[{""details"": ""Compatible with existing infrastructure"", ""detailtype"": ""Maintenance""}]"
Asset 00112,Intangible assets,Electronics,Switches,"Description for Asset 00112, Intangible assets in Electronics category","[{""details"": ""Compatible with existing infrastructure"", ""detailtype"": ""License""}, {""details"": ""Optimized for performance"", ""detailtype"": ""Installation""}]"
