name,asset_category_name ,description,reading_parameters
Investment Securities Category 41,Network Equipment,"Financial assets including stocks, bonds, and mutual funds","{""market_value"": {""unit"": ""USD"", ""range"": ""1000 to 100000""}, ""risk_level"": {""unit"": ""category"", ""values"": [""Low"", ""Medium"", ""High""]}}"
Vehicles Category 42,Network Equipment,Company vehicles for transportation and business operations,"{""fuel_efficiency"": {""unit"": ""km/l"", ""range"": ""8 to 25""}, ""maintenance_interval"": {""unit"": ""km"", ""value"": ""10000""}}"
Electronics Category 43,Network Equipment,Electronic devices including computers and peripherals,"{""battery"": {""unit"": ""hours"", ""range"": ""4 to 12""}, ""temperature"": {""unit"": ""celsius"", ""range"": ""0 to 50""}}"
Software Licenses Category 44,Network Equipment,Software licenses for computers and servers,"{""concurrent_users"": {""unit"": ""count"", ""tracking"": ""license_server""}, ""version"": {""format"": ""semantic_version""}}"
Investment Securities Category 45,Network Equipment,"Financial assets including stocks, bonds, and mutual funds","{""market_value"": {""unit"": ""USD"", ""range"": ""1000 to 100000""}, ""risk_level"": {""unit"": ""category"", ""values"": [""Low"", ""Medium"", ""High""]}}"
Vehicles Category 46,Network Equipment,Company vehicles for transportation and business operations,"{""fuel_efficiency"": {""unit"": ""km/l"", ""range"": ""8 to 25""}, ""maintenance_interval"": {""unit"": ""km"", ""value"": ""10000""}}"
Electronics Category 47,Network Equipment,Electronic devices including computers and peripherals,"{""battery"": {""unit"": ""hours"", ""range"": ""4 to 12""}, ""temperature"": {""unit"": ""celsius"", ""range"": ""0 to 50""}}"
Software Licenses Category 48,Network Equipment,Software licenses for computers and servers,"{""concurrent_users"": {""unit"": ""count"", ""tracking"": ""license_server""}, ""version"": {""format"": ""semantic_version""}}"
Investment Securities Category 49,Network Equipment,"Financial assets including stocks, bonds, and mutual funds","{""market_value"": {""unit"": ""USD"", ""range"": ""1000 to 100000""}, ""risk_level"": {""unit"": ""category"", ""values"": [""Low"", ""Medium"", ""High""]}}"
Vehicles Category 50,Network Equipment,Company vehicles for transportation and business operations,"{""fuel_efficiency"": {""unit"": ""km/l"", ""range"": ""8 to 25""}, ""maintenance_interval"": {""unit"": ""km"", ""value"": ""10000""}}"
Electronics Category 51,Network Equipment,Electronic devices including computers and peripherals,"{""battery"": {""unit"": ""hours"", ""range"": ""4 to 12""}, ""temperature"": {""unit"": ""celsius"", ""range"": ""0 to 50""}}"
Software Licenses Category 52,Network Equipment,Software licenses for computers and servers,"{""concurrent_users"": {""unit"": ""count"", ""tracking"": ""license_server""}, ""version"": {""format"": ""semantic_version""}}"
Investment Securities Category 53,Network Equipment,"Financial assets including stocks, bonds, and mutual funds","{""market_value"": {""unit"": ""USD"", ""range"": ""1000 to 100000""}, ""risk_level"": {""unit"": ""category"", ""values"": [""Low"", ""Medium"", ""High""]}}"
Vehicles Category 54,Network Equipment,Company vehicles for transportation and business operations,"{""fuel_efficiency"": {""unit"": ""km/l"", ""range"": ""8 to 25""}, ""maintenance_interval"": {""unit"": ""km"", ""value"": ""10000""}}"
Electronics Category 55,Network Equipment,Electronic devices including computers and peripherals,"{""battery"": {""unit"": ""hours"", ""range"": ""4 to 12""}, ""temperature"": {""unit"": ""celsius"", ""range"": ""0 to 50""}}"
Software Licenses Category 56,Network Equipment,Software licenses for computers and servers,"{""concurrent_users"": {""unit"": ""count"", ""tracking"": ""license_server""}, ""version"": {""format"": ""semantic_version""}}"
Investment Securities Category 57,Network Equipment,"Financial assets including stocks, bonds, and mutual funds","{""market_value"": {""unit"": ""USD"", ""range"": ""1000 to 100000""}, ""risk_level"": {""unit"": ""category"", ""values"": [""Low"", ""Medium"", ""High""]}}"
Vehicles Category 58,Network Equipment,Company vehicles for transportation and business operations,"{""fuel_efficiency"": {""unit"": ""km/l"", ""range"": ""8 to 25""}, ""maintenance_interval"": {""unit"": ""km"", ""value"": ""10000""}}"
Electronics Category 59,Network Equipment,Electronic devices including computers and peripherals,"{""battery"": {""unit"": ""hours"", ""range"": ""4 to 12""}, ""temperature"": {""unit"": ""celsius"", ""range"": ""0 to 50""}}"
Software Licenses Category 60,Network Equipment,Software licenses for computers and servers,"{""concurrent_users"": {""unit"": ""count"", ""tracking"": ""license_server""}, ""version"": {""format"": ""semantic_version""}}"
Investment Securities Category 61,Network Equipment,"Financial assets including stocks, bonds, and mutual funds","{""market_value"": {""unit"": ""USD"", ""range"": ""1000 to 100000""}, ""risk_level"": {""unit"": ""category"", ""values"": [""Low"", ""Medium"", ""High""]}}"
Vehicles Category 62,Network Equipment,Company vehicles for transportation and business operations,"{""fuel_efficiency"": {""unit"": ""km/l"", ""range"": ""8 to 25""}, ""maintenance_interval"": {""unit"": ""km"", ""value"": ""10000""}}"
Electronics Category 63,Network Equipment,Electronic devices including computers and peripherals,"{""battery"": {""unit"": ""hours"", ""range"": ""4 to 12""}, ""temperature"": {""unit"": ""celsius"", ""range"": ""0 to 50""}}"
Software Licenses Category 64,Network Equipment,Software licenses for computers and servers,"{""concurrent_users"": {""unit"": ""count"", ""tracking"": ""license_server""}, ""version"": {""format"": ""semantic_version""}}"
Investment Securities Category 65,Network Equipment,"Financial assets including stocks, bonds, and mutual funds","{""market_value"": {""unit"": ""USD"", ""range"": ""1000 to 100000""}, ""risk_level"": {""unit"": ""category"", ""values"": [""Low"", ""Medium"", ""High""]}}"
Vehicles Category 66,Network Equipment,Company vehicles for transportation and business operations,"{""fuel_efficiency"": {""unit"": ""km/l"", ""range"": ""8 to 25""}, ""maintenance_interval"": {""unit"": ""km"", ""value"": ""10000""}}"
Electronics Category 67,Network Equipment,Electronic devices including computers and peripherals,"{""battery"": {""unit"": ""hours"", ""range"": ""4 to 12""}, ""temperature"": {""unit"": ""celsius"", ""range"": ""0 to 50""}}"
Software Licenses Category 68,Network Equipment,Software licenses for computers and servers,"{""concurrent_users"": {""unit"": ""count"", ""tracking"": ""license_server""}, ""version"": {""format"": ""semantic_version""}}"
Investment Securities Category 69,Network Equipment,"Financial assets including stocks, bonds, and mutual funds","{""market_value"": {""unit"": ""USD"", ""range"": ""1000 to 100000""}, ""risk_level"": {""unit"": ""category"", ""values"": [""Low"", ""Medium"", ""High""]}}"
Vehicles Category 70,Network Equipment,Company vehicles for transportation and business operations,"{""fuel_efficiency"": {""unit"": ""km/l"", ""range"": ""8 to 25""}, ""maintenance_interval"": {""unit"": ""km"", ""value"": ""10000""}}"
Electronics Category 71,Network Equipment,Electronic devices including computers and peripherals,"{""battery"": {""unit"": ""hours"", ""range"": ""4 to 12""}, ""temperature"": {""unit"": ""celsius"", ""range"": ""0 to 50""}}"
Software Licenses Category 72,Network Equipment,Software licenses for computers and servers,"{""concurrent_users"": {""unit"": ""count"", ""tracking"": ""license_server""}, ""version"": {""format"": ""semantic_version""}}"
Investment Securities Category 73,Network Equipment,"Financial assets including stocks, bonds, and mutual funds","{""market_value"": {""unit"": ""USD"", ""range"": ""1000 to 100000""}, ""risk_level"": {""unit"": ""category"", ""values"": [""Low"", ""Medium"", ""High""]}}"
Vehicles Category 74,Network Equipment,Company vehicles for transportation and business operations,"{""fuel_efficiency"": {""unit"": ""km/l"", ""range"": ""8 to 25""}, ""maintenance_interval"": {""unit"": ""km"", ""value"": ""10000""}}"
Electronics Category 75,Network Equipment,Electronic devices including computers and peripherals,"{""battery"": {""unit"": ""hours"", ""range"": ""4 to 12""}, ""temperature"": {""unit"": ""celsius"", ""range"": ""0 to 50""}}"
Software Licenses Category 76,Network Equipment,Software licenses for computers and servers,"{""concurrent_users"": {""unit"": ""count"", ""tracking"": ""license_server""}, ""version"": {""format"": ""semantic_version""}}"
Investment Securities Category 77,Network Equipment,"Financial assets including stocks, bonds, and mutual funds","{""market_value"": {""unit"": ""USD"", ""range"": ""1000 to 100000""}, ""risk_level"": {""unit"": ""category"", ""values"": [""Low"", ""Medium"", ""High""]}}"
Vehicles Category 78,Network Equipment,Company vehicles for transportation and business operations,"{""fuel_efficiency"": {""unit"": ""km/l"", ""range"": ""8 to 25""}, ""maintenance_interval"": {""unit"": ""km"", ""value"": ""10000""}}"
Electronics Category 79,Network Equipment,Electronic devices including computers and peripherals,"{""battery"": {""unit"": ""hours"", ""range"": ""4 to 12""}, ""temperature"": {""unit"": ""celsius"", ""range"": ""0 to 50""}}"
Software Licenses Category 80,Network Equipment,Software licenses for computers and servers,"{""concurrent_users"": {""unit"": ""count"", ""tracking"": ""license_server""}, ""version"": {""format"": ""semantic_version""}}"
Investment Securities Category 81,Network Equipment,"Financial assets including stocks, bonds, and mutual funds","{""market_value"": {""unit"": ""USD"", ""range"": ""1000 to 100000""}, ""risk_level"": {""unit"": ""category"", ""values"": [""Low"", ""Medium"", ""High""]}}"
Vehicles Category 82,Network Equipment,Company vehicles for transportation and business operations,"{""fuel_efficiency"": {""unit"": ""km/l"", ""range"": ""8 to 25""}, ""maintenance_interval"": {""unit"": ""km"", ""value"": ""10000""}}"
Electronics Category 83,Network Equipment,Electronic devices including computers and peripherals,"{""battery"": {""unit"": ""hours"", ""range"": ""4 to 12""}, ""temperature"": {""unit"": ""celsius"", ""range"": ""0 to 50""}}"
Software Licenses Category 84,Network Equipment,Software licenses for computers and servers,"{""concurrent_users"": {""unit"": ""count"", ""tracking"": ""license_server""}, ""version"": {""format"": ""semantic_version""}}"
Investment Securities Category 85,Network Equipment,"Financial assets including stocks, bonds, and mutual funds","{""market_value"": {""unit"": ""USD"", ""range"": ""1000 to 100000""}, ""risk_level"": {""unit"": ""category"", ""values"": [""Low"", ""Medium"", ""High""]}}"
Vehicles Category 86,Network Equipment,Company vehicles for transportation and business operations,"{""fuel_efficiency"": {""unit"": ""km/l"", ""range"": ""8 to 25""}, ""maintenance_interval"": {""unit"": ""km"", ""value"": ""10000""}}"
Electronics Category 87,Network Equipment,Electronic devices including computers and peripherals,"{""battery"": {""unit"": ""hours"", ""range"": ""4 to 12""}, ""temperature"": {""unit"": ""celsius"", ""range"": ""0 to 50""}}"
Software Licenses Category 88,Network Equipment,Software licenses for computers and servers,"{""concurrent_users"": {""unit"": ""count"", ""tracking"": ""license_server""}, ""version"": {""format"": ""semantic_version""}}"
Investment Securities Category 89,Network Equipment,"Financial assets including stocks, bonds, and mutual funds","{""market_value"": {""unit"": ""USD"", ""range"": ""1000 to 100000""}, ""risk_level"": {""unit"": ""category"", ""values"": [""Low"", ""Medium"", ""High""]}}"
Vehicles Category 90,Network Equipment,Company vehicles for transportation and business operations,"{""fuel_efficiency"": {""unit"": ""km/l"", ""range"": ""8 to 25""}, ""maintenance_interval"": {""unit"": ""km"", ""value"": ""10000""}}"
Electronics Category 91,Network Equipment,Electronic devices including computers and peripherals,"{""battery"": {""unit"": ""hours"", ""range"": ""4 to 12""}, ""temperature"": {""unit"": ""celsius"", ""range"": ""0 to 50""}}"
Software Licenses Category 92,Network Equipment,Software licenses for computers and servers,"{""concurrent_users"": {""unit"": ""count"", ""tracking"": ""license_server""}, ""version"": {""format"": ""semantic_version""}}"
Investment Securities Category 93,Network Equipment,"Financial assets including stocks, bonds, and mutual funds","{""market_value"": {""unit"": ""USD"", ""range"": ""1000 to 100000""}, ""risk_level"": {""unit"": ""category"", ""values"": [""Low"", ""Medium"", ""High""]}}"
Vehicles Category 94,Network Equipment,Company vehicles for transportation and business operations,"{""fuel_efficiency"": {""unit"": ""km/l"", ""range"": ""8 to 25""}, ""maintenance_interval"": {""unit"": ""km"", ""value"": ""10000""}}"
Electronics Category 95,Network Equipment,Electronic devices including computers and peripherals,"{""battery"": {""unit"": ""hours"", ""range"": ""4 to 12""}, ""temperature"": {""unit"": ""celsius"", ""range"": ""0 to 50""}}"
Software Licenses Category 96,Network Equipment,Software licenses for computers and servers,"{""concurrent_users"": {""unit"": ""count"", ""tracking"": ""license_server""}, ""version"": {""format"": ""semantic_version""}}"
Investment Securities Category 97,Network Equipment,"Financial assets including stocks, bonds, and mutual funds","{""market_value"": {""unit"": ""USD"", ""range"": ""1000 to 100000""}, ""risk_level"": {""unit"": ""category"", ""values"": [""Low"", ""Medium"", ""High""]}}"
Vehicles Category 98,Network Equipment,Company vehicles for transportation and business operations,"{""fuel_efficiency"": {""unit"": ""km/l"", ""range"": ""8 to 25""}, ""maintenance_interval"": {""unit"": ""km"", ""value"": ""10000""}}"
Electronics Category 99,Network Equipment,Electronic devices including computers and peripherals,"{""battery"": {""unit"": ""hours"", ""range"": ""4 to 12""}, ""temperature"": {""unit"": ""celsius"", ""range"": ""0 to 50""}}"
Software Licenses Category 100,Network Equipment,Software licenses for computers and servers,"{""concurrent_users"": {""unit"": ""count"", ""tracking"": ""license_server""}, ""version"": {""format"": ""semantic_version""}}"
