name,description,is_active
Term Type 358,Description for term type 358 - availability period definition,1
Term Type 359,Description for term type 359 - availability period definition,1
Term Type 360,Description for term type 360 - availability period definition,1
Term Type 361,Description for term type 361 - availability period definition,1
Term Type 362,Description for term type 362 - availability period definition,1
Term Type 363,Description for term type 363 - availability period definition,1
Term Type 364,Description for term type 364 - availability period definition,1
Term Type 365,Description for term type 365 - availability period definition,1
Term Type 366,Description for term type 366 - availability period definition,1
Term Type 367,Description for term type 367 - availability period definition,1
Term Type 368,Description for term type 368 - availability period definition,1
Term Type 369,Description for term type 369 - availability period definition,1
Term Type 370,Description for term type 370 - availability period definition,1
Term Type 371,Description for term type 371 - availability period definition,1
Term Type 372,Description for term type 372 - availability period definition,1
Term Type 373,Description for term type 373 - availability period definition,1
Term Type 374,Description for term type 374 - availability period definition,1
Term Type 375,Description for term type 375 - availability period definition,1
Term Type 376,Description for term type 376 - availability period definition,1
Term Type 377,Description for term type 377 - availability period definition,1
Term Type 378,Description for term type 378 - availability period definition,1
Term Type 379,Description for term type 379 - availability period definition,1
Term Type 380,Description for term type 380 - availability period definition,1
Term Type 381,Description for term type 381 - availability period definition,1
Term Type 382,Description for term type 382 - availability period definition,1
Term Type 383,Description for term type 383 - availability period definition,1
Term Type 384,Description for term type 384 - availability period definition,1
Term Type 385,Description for term type 385 - availability period definition,1
Term Type 386,Description for term type 386 - availability period definition,1
Term Type 387,Description for term type 387 - availability period definition,1
Term Type 388,Description for term type 388 - availability period definition,1
Term Type 389,Description for term type 389 - availability period definition,1
Term Type 390,Description for term type 390 - availability period definition,1
Term Type 391,Description for term type 391 - availability period definition,1
Term Type 392,Description for term type 392 - availability period definition,1
Term Type 393,Description for term type 393 - availability period definition,1
Term Type 394,Description for term type 394 - availability period definition,1
Term Type 395,Description for term type 395 - availability period definition,1
Term Type 396,Description for term type 396 - availability period definition,1
Term Type 397,Description for term type 397 - availability period definition,1
Term Type 398,Description for term type 398 - availability period definition,1
Term Type 399,Description for term type 399 - availability period definition,1
Term Type 400,Description for term type 400 - availability period definition,1
Term Type 401,Description for term type 401 - availability period definition,1
Term Type 402,Description for term type 402 - availability period definition,1
Term Type 403,Description for term type 403 - availability period definition,1
Term Type 404,Description for term type 404 - availability period definition,1
Term Type 405,Description for term type 405 - availability period definition,1
Term Type 406,Description for term type 406 - availability period definition,1
Term Type 407,Description for term type 407 - availability period definition,1
Term Type 408,Description for term type 408 - availability period definition,1
Term Type 409,Description for term type 409 - availability period definition,1
Term Type 410,Description for term type 410 - availability period definition,1
Term Type 411,Description for term type 411 - availability period definition,1
Term Type 412,Description for term type 412 - availability period definition,1
Term Type 413,Description for term type 413 - availability period definition,1
Term Type 414,Description for term type 414 - availability period definition,1
Term Type 415,Description for term type 415 - availability period definition,1
Term Type 416,Description for term type 416 - availability period definition,1
Term Type 417,Description for term type 417 - availability period definition,1
Term Type 418,Description for term type 418 - availability period definition,1
Term Type 419,Description for term type 419 - availability period definition,1
Term Type 420,Description for term type 420 - availability period definition,1
Term Type 421,Description for term type 421 - availability period definition,1
Term Type 422,Description for term type 422 - availability period definition,1
Term Type 423,Description for term type 423 - availability period definition,1
Term Type 424,Description for term type 424 - availability period definition,1
Term Type 425,Description for term type 425 - availability period definition,1
Term Type 426,Description for term type 426 - availability period definition,1
Term Type 427,Description for term type 427 - availability period definition,1
Term Type 428,Description for term type 428 - availability period definition,1
Term Type 429,Description for term type 429 - availability period definition,1
Term Type 430,Description for term type 430 - availability period definition,1
Term Type 431,Description for term type 431 - availability period definition,1
Term Type 432,Description for term type 432 - availability period definition,1
Term Type 433,Description for term type 433 - availability period definition,1
Term Type 434,Description for term type 434 - availability period definition,1
Term Type 435,Description for term type 435 - availability period definition,1
Term Type 436,Description for term type 436 - availability period definition,1
Term Type 437,Description for term type 437 - availability period definition,1
Term Type 438,Description for term type 438 - availability period definition,1
Term Type 439,Description for term type 439 - availability period definition,1
Term Type 440,Description for term type 440 - availability period definition,1
Term Type 441,Description for term type 441 - availability period definition,1
Term Type 442,Description for term type 442 - availability period definition,1
Term Type 443,Description for term type 443 - availability period definition,1
Term Type 444,Description for term type 444 - availability period definition,1
Term Type 445,Description for term type 445 - availability period definition,1
Term Type 446,Description for term type 446 - availability period definition,1
Term Type 447,Description for term type 447 - availability period definition,1
Term Type 448,Description for term type 448 - availability period definition,1
Term Type 449,Description for term type 449 - availability period definition,1
Term Type 450,Description for term type 450 - availability period definition,1
Term Type 451,Description for term type 451 - availability period definition,1
Term Type 452,Description for term type 452 - availability period definition,1
Term Type 453,Description for term type 453 - availability period definition,1
Term Type 454,Description for term type 454 - availability period definition,1
Term Type 455,Description for term type 455 - availability period definition,1
Term Type 456,Description for term type 456 - availability period definition,1
Term Type 457,Description for term type 457 - availability period definition,1
Term Type 458,Description for term type 458 - availability period definition,1
Term Type 459,Description for term type 459 - availability period definition,1
Term Type 460,Description for term type 460 - availability period definition,1
Term Type 461,Description for term type 461 - availability period definition,1
Term Type 462,Description for term type 462 - availability period definition,1
Term Type 463,Description for term type 463 - availability period definition,1
Term Type 464,Description for term type 464 - availability period definition,1
Term Type 465,Description for term type 465 - availability period definition,1
Term Type 466,Description for term type 466 - availability period definition,1
Term Type 467,Description for term type 467 - availability period definition,1
Term Type 468,Description for term type 468 - availability period definition,1
Term Type 469,Description for term type 469 - availability period definition,1
Term Type 470,Description for term type 470 - availability period definition,1
Term Type 471,Description for term type 471 - availability period definition,1
Term Type 472,Description for term type 472 - availability period definition,1
Term Type 473,Description for term type 473 - availability period definition,1
Term Type 474,Description for term type 474 - availability period definition,1
Term Type 475,Description for term type 475 - availability period definition,1
Term Type 476,Description for term type 476 - availability period definition,1
Term Type 477,Description for term type 477 - availability period definition,1
Term Type 478,Description for term type 478 - availability period definition,1
Term Type 479,Description for term type 479 - availability period definition,1
Term Type 480,Description for term type 480 - availability period definition,1
Term Type 481,Description for term type 481 - availability period definition,1
Term Type 482,Description for term type 482 - availability period definition,1
Term Type 483,Description for term type 483 - availability period definition,1
Term Type 484,Description for term type 484 - availability period definition,1
Term Type 485,Description for term type 485 - availability period definition,1
Term Type 486,Description for term type 486 - availability period definition,1
Term Type 487,Description for term type 487 - availability period definition,1
Term Type 488,Description for term type 488 - availability period definition,1
Term Type 489,Description for term type 489 - availability period definition,1
Term Type 490,Description for term type 490 - availability period definition,1
Term Type 491,Description for term type 491 - availability period definition,1
Term Type 492,Description for term type 492 - availability period definition,1
Term Type 493,Description for term type 493 - availability period definition,1
Term Type 494,Description for term type 494 - availability period definition,1
Term Type 495,Description for term type 495 - availability period definition,1
Term Type 496,Description for term type 496 - availability period definition,1
Term Type 497,Description for term type 497 - availability period definition,1
Term Type 498,Description for term type 498 - availability period definition,1
Term Type 499,Description for term type 499 - availability period definition,1
Term Type 500,Description for term type 500 - availability period definition,1
Term Type 501,Description for term type 501 - availability period definition,1
Term Type 502,Description for term type 502 - availability period definition,1
Term Type 503,Description for term type 503 - availability period definition,1
Term Type 504,Description for term type 504 - availability period definition,1
Term Type 505,Description for term type 505 - availability period definition,1
Term Type 506,Description for term type 506 - availability period definition,1
Term Type 507,Description for term type 507 - availability period definition,1
Term Type 508,Description for term type 508 - availability period definition,1
Term Type 509,Description for term type 509 - availability period definition,1
Term Type 510,Description for term type 510 - availability period definition,1
Term Type 511,Description for term type 511 - availability period definition,1
Term Type 512,Description for term type 512 - availability period definition,1
Term Type 513,Description for term type 513 - availability period definition,1
Term Type 514,Description for term type 514 - availability period definition,1
Term Type 515,Description for term type 515 - availability period definition,1
Term Type 516,Description for term type 516 - availability period definition,1
Term Type 517,Description for term type 517 - availability period definition,1
Term Type 518,Description for term type 518 - availability period definition,1
Term Type 519,Description for term type 519 - availability period definition,1
Term Type 520,Description for term type 520 - availability period definition,1
Term Type 521,Description for term type 521 - availability period definition,1
Term Type 522,Description for term type 522 - availability period definition,1
Term Type 523,Description for term type 523 - availability period definition,1
Term Type 524,Description for term type 524 - availability period definition,1
Term Type 525,Description for term type 525 - availability period definition,1
Term Type 526,Description for term type 526 - availability period definition,1
Term Type 527,Description for term type 527 - availability period definition,1
Term Type 528,Description for term type 528 - availability period definition,1
Term Type 529,Description for term type 529 - availability period definition,1
Term Type 530,Description for term type 530 - availability period definition,1
Term Type 531,Description for term type 531 - availability period definition,1
Term Type 532,Description for term type 532 - availability period definition,1
Term Type 533,Description for term type 533 - availability period definition,1
Term Type 534,Description for term type 534 - availability period definition,1
Term Type 535,Description for term type 535 - availability period definition,1
Term Type 536,Description for term type 536 - availability period definition,1
Term Type 537,Description for term type 537 - availability period definition,1
Term Type 538,Description for term type 538 - availability period definition,1
Term Type 539,Description for term type 539 - availability period definition,1
Term Type 540,Description for term type 540 - availability period definition,1
Term Type 541,Description for term type 541 - availability period definition,1
Term Type 542,Description for term type 542 - availability period definition,1
Term Type 543,Description for term type 543 - availability period definition,1
Term Type 544,Description for term type 544 - availability period definition,1
Term Type 545,Description for term type 545 - availability period definition,1
Term Type 546,Description for term type 546 - availability period definition,1
Term Type 547,Description for term type 547 - availability period definition,1
Term Type 548,Description for term type 548 - availability period definition,1
Term Type 549,Description for term type 549 - availability period definition,1
Term Type 550,Description for term type 550 - availability period definition,1
Term Type 551,Description for term type 551 - availability period definition,1
Term Type 552,Description for term type 552 - availability period definition,1
Term Type 553,Description for term type 553 - availability period definition,1
Term Type 554,Description for term type 554 - availability period definition,1
Term Type 555,Description for term type 555 - availability period definition,1
Term Type 556,Description for term type 556 - availability period definition,1
Term Type 557,Description for term type 557 - availability period definition,1
Term Type 558,Description for term type 558 - availability period definition,1
Term Type 559,Description for term type 559 - availability period definition,1
Term Type 560,Description for term type 560 - availability period definition,1
Term Type 561,Description for term type 561 - availability period definition,1
Term Type 562,Description for term type 562 - availability period definition,1
Term Type 563,Description for term type 563 - availability period definition,1
Term Type 564,Description for term type 564 - availability period definition,1
Term Type 565,Description for term type 565 - availability period definition,1
