name,asset_type_name,category_name,sub_category_name,asset_description,thumbnail_image,asset_details,asset_classification,reading_parameters
Asset Group 011,Tangible assets,Category_011,SubCategory_011,"Description for Asset Group 011, categorized under Category_011.","{""image_url"": ""/uploads/assets/asset_011.jpg"", ""alt_text"": ""Asset Group 011""}","{""brand"": ""Brand_11"", ""model"": ""Model_11"", ""year"": 2025, ""specifications"": {""cpu"": ""Intel i2"", ""ram"": ""20GB"", ""storage"": ""384GB SSD""}}","{""tags"": [""tag11"", ""asset"", ""group""], ""priority"": ""medium"", ""usage_type"": ""business""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-71""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 012,Fixed assets,Category_012,SubCategory_012,"Description for Asset Group 012, categorized under Category_012.","{""image_url"": ""/uploads/assets/asset_012.jpg"", ""alt_text"": ""Asset Group 012""}","{""brand"": ""Brand_12"", ""model"": ""Model_12"", ""year"": 2020, ""specifications"": {""cpu"": ""Intel i3"", ""ram"": ""8GB"", ""storage"": ""512GB SSD""}}","{""tags"": [""tag12"", ""asset"", ""group""], ""priority"": ""medium"", ""usage_type"": ""passive""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-72""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 013,Non-operating assets,Category_013,SubCategory_013,"Description for Asset Group 013, categorized under Category_013.","{""image_url"": ""/uploads/assets/asset_013.jpg"", ""alt_text"": ""Asset Group 013""}","{""brand"": ""Brand_13"", ""model"": ""Model_13"", ""year"": 2021, ""specifications"": {""cpu"": ""Intel i4"", ""ram"": ""12GB"", ""storage"": ""640GB SSD""}}","{""tags"": [""tag13"", ""asset"", ""group""], ""priority"": ""high"", ""usage_type"": ""business""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-73""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 014,Tangible assets,Category_014,SubCategory_014,"Description for Asset Group 014, categorized under Category_014.","{""image_url"": ""/uploads/assets/asset_014.jpg"", ""alt_text"": ""Asset Group 014""}","{""brand"": ""Brand_14"", ""model"": ""Model_14"", ""year"": 2022, ""specifications"": {""cpu"": ""Intel i5"", ""ram"": ""16GB"", ""storage"": ""768GB SSD""}}","{""tags"": [""tag14"", ""asset"", ""group""], ""priority"": ""high"", ""usage_type"": ""passive""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-74""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 015,Tangible assets,Category_015,SubCategory_015,"Description for Asset Group 015, categorized under Category_015.","{""image_url"": ""/uploads/assets/asset_015.jpg"", ""alt_text"": ""Asset Group 015""}","{""brand"": ""Brand_15"", ""model"": ""Model_15"", ""year"": 2023, ""specifications"": {""cpu"": ""Intel i6"", ""ram"": ""20GB"", ""storage"": ""256GB SSD""}}","{""tags"": [""tag15"", ""asset"", ""group""], ""priority"": ""medium"", ""usage_type"": ""daily""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-75""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 016,Tangible assets,Category_016,SubCategory_016,"Description for Asset Group 016, categorized under Category_016.","{""image_url"": ""/uploads/assets/asset_016.jpg"", ""alt_text"": ""Asset Group 016""}","{""brand"": ""Brand_16"", ""model"": ""Model_16"", ""year"": 2024, ""specifications"": {""cpu"": ""Intel i7"", ""ram"": ""8GB"", ""storage"": ""384GB SSD""}}","{""tags"": [""tag16"", ""asset"", ""group""], ""priority"": ""high"", ""usage_type"": ""passive""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-76""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 017,Tangible assets,Category_017,SubCategory_017,"Description for Asset Group 017, categorized under Category_017.","{""image_url"": ""/uploads/assets/asset_017.jpg"", ""alt_text"": ""Asset Group 017""}","{""brand"": ""Brand_17"", ""model"": ""Model_17"", ""year"": 2025, ""specifications"": {""cpu"": ""Intel i8"", ""ram"": ""12GB"", ""storage"": ""512GB SSD""}}","{""tags"": [""tag17"", ""asset"", ""group""], ""priority"": ""low"", ""usage_type"": ""passive""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-77""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 018,Operating assets,Category_018,SubCategory_018,"Description for Asset Group 018, categorized under Category_018.","{""image_url"": ""/uploads/assets/asset_018.jpg"", ""alt_text"": ""Asset Group 018""}","{""brand"": ""Brand_18"", ""model"": ""Model_18"", ""year"": 2020, ""specifications"": {""cpu"": ""Intel i0"", ""ram"": ""16GB"", ""storage"": ""640GB SSD""}}","{""tags"": [""tag18"", ""asset"", ""group""], ""priority"": ""critical"", ""usage_type"": ""passive""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-78""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 019,Tangible assets,Category_019,SubCategory_019,"Description for Asset Group 019, categorized under Category_019.","{""image_url"": ""/uploads/assets/asset_019.jpg"", ""alt_text"": ""Asset Group 019""}","{""brand"": ""Brand_19"", ""model"": ""Model_19"", ""year"": 2021, ""specifications"": {""cpu"": ""Intel i1"", ""ram"": ""20GB"", ""storage"": ""768GB SSD""}}","{""tags"": [""tag19"", ""asset"", ""group""], ""priority"": ""high"", ""usage_type"": ""continuous""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-79""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 020,Fixed assets,Category_020,SubCategory_020,"Description for Asset Group 020, categorized under Category_020.","{""image_url"": ""/uploads/assets/asset_020.jpg"", ""alt_text"": ""Asset Group 020""}","{""brand"": ""Brand_20"", ""model"": ""Model_20"", ""year"": 2022, ""specifications"": {""cpu"": ""Intel i2"", ""ram"": ""8GB"", ""storage"": ""256GB SSD""}}","{""tags"": [""tag20"", ""asset"", ""group""], ""priority"": ""medium"", ""usage_type"": ""daily""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-80""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 021,Operating assets,Category_021,SubCategory_021,"Description for Asset Group 021, categorized under Category_021.","{""image_url"": ""/uploads/assets/asset_021.jpg"", ""alt_text"": ""Asset Group 021""}","{""brand"": ""Brand_21"", ""model"": ""Model_21"", ""year"": 2023, ""specifications"": {""cpu"": ""Intel i3"", ""ram"": ""12GB"", ""storage"": ""384GB SSD""}}","{""tags"": [""tag21"", ""asset"", ""group""], ""priority"": ""low"", ""usage_type"": ""passive""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-81""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 022,Fixed assets,Category_022,SubCategory_022,"Description for Asset Group 022, categorized under Category_022.","{""image_url"": ""/uploads/assets/asset_022.jpg"", ""alt_text"": ""Asset Group 022""}","{""brand"": ""Brand_22"", ""model"": ""Model_22"", ""year"": 2024, ""specifications"": {""cpu"": ""Intel i4"", ""ram"": ""16GB"", ""storage"": ""512GB SSD""}}","{""tags"": [""tag22"", ""asset"", ""group""], ""priority"": ""medium"", ""usage_type"": ""passive""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-82""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 023,Fixed assets,Category_023,SubCategory_023,"Description for Asset Group 023, categorized under Category_023.","{""image_url"": ""/uploads/assets/asset_023.jpg"", ""alt_text"": ""Asset Group 023""}","{""brand"": ""Brand_23"", ""model"": ""Model_23"", ""year"": 2025, ""specifications"": {""cpu"": ""Intel i5"", ""ram"": ""20GB"", ""storage"": ""640GB SSD""}}","{""tags"": [""tag23"", ""asset"", ""group""], ""priority"": ""low"", ""usage_type"": ""daily""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-83""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 024,Intangible assets,Category_024,SubCategory_024,"Description for Asset Group 024, categorized under Category_024.","{""image_url"": ""/uploads/assets/asset_024.jpg"", ""alt_text"": ""Asset Group 024""}","{""brand"": ""Brand_24"", ""model"": ""Model_24"", ""year"": 2020, ""specifications"": {""cpu"": ""Intel i6"", ""ram"": ""8GB"", ""storage"": ""768GB SSD""}}","{""tags"": [""tag24"", ""asset"", ""group""], ""priority"": ""medium"", ""usage_type"": ""passive""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-84""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 025,Fixed assets,Category_025,SubCategory_025,"Description for Asset Group 025, categorized under Category_025.","{""image_url"": ""/uploads/assets/asset_025.jpg"", ""alt_text"": ""Asset Group 025""}","{""brand"": ""Brand_25"", ""model"": ""Model_25"", ""year"": 2021, ""specifications"": {""cpu"": ""Intel i7"", ""ram"": ""12GB"", ""storage"": ""256GB SSD""}}","{""tags"": [""tag25"", ""asset"", ""group""], ""priority"": ""low"", ""usage_type"": ""business""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-85""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 026,Non-operating assets,Category_026,SubCategory_026,"Description for Asset Group 026, categorized under Category_026.","{""image_url"": ""/uploads/assets/asset_026.jpg"", ""alt_text"": ""Asset Group 026""}","{""brand"": ""Brand_26"", ""model"": ""Model_26"", ""year"": 2022, ""specifications"": {""cpu"": ""Intel i8"", ""ram"": ""16GB"", ""storage"": ""384GB SSD""}}","{""tags"": [""tag26"", ""asset"", ""group""], ""priority"": ""low"", ""usage_type"": ""daily""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-86""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 027,Intangible assets,Category_027,SubCategory_027,"Description for Asset Group 027, categorized under Category_027.","{""image_url"": ""/uploads/assets/asset_027.jpg"", ""alt_text"": ""Asset Group 027""}","{""brand"": ""Brand_27"", ""model"": ""Model_27"", ""year"": 2023, ""specifications"": {""cpu"": ""Intel i0"", ""ram"": ""20GB"", ""storage"": ""512GB SSD""}}","{""tags"": [""tag27"", ""asset"", ""group""], ""priority"": ""medium"", ""usage_type"": ""continuous""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-87""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 028,Operating assets,Category_028,SubCategory_028,"Description for Asset Group 028, categorized under Category_028.","{""image_url"": ""/uploads/assets/asset_028.jpg"", ""alt_text"": ""Asset Group 028""}","{""brand"": ""Brand_28"", ""model"": ""Model_28"", ""year"": 2024, ""specifications"": {""cpu"": ""Intel i1"", ""ram"": ""8GB"", ""storage"": ""640GB SSD""}}","{""tags"": [""tag28"", ""asset"", ""group""], ""priority"": ""low"", ""usage_type"": ""business""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-88""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 029,Fixed assets,Category_029,SubCategory_029,"Description for Asset Group 029, categorized under Category_029.","{""image_url"": ""/uploads/assets/asset_029.jpg"", ""alt_text"": ""Asset Group 029""}","{""brand"": ""Brand_29"", ""model"": ""Model_29"", ""year"": 2025, ""specifications"": {""cpu"": ""Intel i2"", ""ram"": ""12GB"", ""storage"": ""768GB SSD""}}","{""tags"": [""tag29"", ""asset"", ""group""], ""priority"": ""critical"", ""usage_type"": ""daily""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-89""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 030,Tangible assets,Category_030,SubCategory_030,"Description for Asset Group 030, categorized under Category_030.","{""image_url"": ""/uploads/assets/asset_030.jpg"", ""alt_text"": ""Asset Group 030""}","{""brand"": ""Brand_30"", ""model"": ""Model_30"", ""year"": 2020, ""specifications"": {""cpu"": ""Intel i3"", ""ram"": ""16GB"", ""storage"": ""256GB SSD""}}","{""tags"": [""tag30"", ""asset"", ""group""], ""priority"": ""high"", ""usage_type"": ""passive""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-90""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 031,Intangible assets,Category_031,SubCategory_031,"Description for Asset Group 031, categorized under Category_031.","{""image_url"": ""/uploads/assets/asset_031.jpg"", ""alt_text"": ""Asset Group 031""}","{""brand"": ""Brand_31"", ""model"": ""Model_31"", ""year"": 2021, ""specifications"": {""cpu"": ""Intel i4"", ""ram"": ""20GB"", ""storage"": ""384GB SSD""}}","{""tags"": [""tag31"", ""asset"", ""group""], ""priority"": ""critical"", ""usage_type"": ""continuous""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-91""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 032,Operating assets,Category_032,SubCategory_032,"Description for Asset Group 032, categorized under Category_032.","{""image_url"": ""/uploads/assets/asset_032.jpg"", ""alt_text"": ""Asset Group 032""}","{""brand"": ""Brand_32"", ""model"": ""Model_32"", ""year"": 2022, ""specifications"": {""cpu"": ""Intel i5"", ""ram"": ""8GB"", ""storage"": ""512GB SSD""}}","{""tags"": [""tag32"", ""asset"", ""group""], ""priority"": ""medium"", ""usage_type"": ""daily""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-92""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 033,Operating assets,Category_033,SubCategory_033,"Description for Asset Group 033, categorized under Category_033.","{""image_url"": ""/uploads/assets/asset_033.jpg"", ""alt_text"": ""Asset Group 033""}","{""brand"": ""Brand_33"", ""model"": ""Model_33"", ""year"": 2023, ""specifications"": {""cpu"": ""Intel i6"", ""ram"": ""12GB"", ""storage"": ""640GB SSD""}}","{""tags"": [""tag33"", ""asset"", ""group""], ""priority"": ""low"", ""usage_type"": ""continuous""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-93""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 034,Tangible assets,Category_034,SubCategory_034,"Description for Asset Group 034, categorized under Category_034.","{""image_url"": ""/uploads/assets/asset_034.jpg"", ""alt_text"": ""Asset Group 034""}","{""brand"": ""Brand_34"", ""model"": ""Model_34"", ""year"": 2024, ""specifications"": {""cpu"": ""Intel i7"", ""ram"": ""16GB"", ""storage"": ""768GB SSD""}}","{""tags"": [""tag34"", ""asset"", ""group""], ""priority"": ""medium"", ""usage_type"": ""passive""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-94""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 035,Fixed assets,Category_035,SubCategory_035,"Description for Asset Group 035, categorized under Category_035.","{""image_url"": ""/uploads/assets/asset_035.jpg"", ""alt_text"": ""Asset Group 035""}","{""brand"": ""Brand_35"", ""model"": ""Model_35"", ""year"": 2025, ""specifications"": {""cpu"": ""Intel i8"", ""ram"": ""20GB"", ""storage"": ""256GB SSD""}}","{""tags"": [""tag35"", ""asset"", ""group""], ""priority"": ""high"", ""usage_type"": ""daily""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-95""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 036,Intangible assets,Category_036,SubCategory_036,"Description for Asset Group 036, categorized under Category_036.","{""image_url"": ""/uploads/assets/asset_036.jpg"", ""alt_text"": ""Asset Group 036""}","{""brand"": ""Brand_36"", ""model"": ""Model_36"", ""year"": 2020, ""specifications"": {""cpu"": ""Intel i0"", ""ram"": ""8GB"", ""storage"": ""384GB SSD""}}","{""tags"": [""tag36"", ""asset"", ""group""], ""priority"": ""low"", ""usage_type"": ""passive""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-96""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 037,Fixed assets,Category_037,SubCategory_037,"Description for Asset Group 037, categorized under Category_037.","{""image_url"": ""/uploads/assets/asset_037.jpg"", ""alt_text"": ""Asset Group 037""}","{""brand"": ""Brand_37"", ""model"": ""Model_37"", ""year"": 2021, ""specifications"": {""cpu"": ""Intel i1"", ""ram"": ""12GB"", ""storage"": ""512GB SSD""}}","{""tags"": [""tag37"", ""asset"", ""group""], ""priority"": ""critical"", ""usage_type"": ""continuous""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-97""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 038,Non-operating assets,Category_038,SubCategory_038,"Description for Asset Group 038, categorized under Category_038.","{""image_url"": ""/uploads/assets/asset_038.jpg"", ""alt_text"": ""Asset Group 038""}","{""brand"": ""Brand_38"", ""model"": ""Model_38"", ""year"": 2022, ""specifications"": {""cpu"": ""Intel i2"", ""ram"": ""16GB"", ""storage"": ""640GB SSD""}}","{""tags"": [""tag38"", ""asset"", ""group""], ""priority"": ""critical"", ""usage_type"": ""business""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-98""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 039,Fixed assets,Category_039,SubCategory_039,"Description for Asset Group 039, categorized under Category_039.","{""image_url"": ""/uploads/assets/asset_039.jpg"", ""alt_text"": ""Asset Group 039""}","{""brand"": ""Brand_39"", ""model"": ""Model_39"", ""year"": 2023, ""specifications"": {""cpu"": ""Intel i3"", ""ram"": ""20GB"", ""storage"": ""768GB SSD""}}","{""tags"": [""tag39"", ""asset"", ""group""], ""priority"": ""high"", ""usage_type"": ""daily""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-99""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 040,Fixed assets,Category_040,SubCategory_040,"Description for Asset Group 040, categorized under Category_040.","{""image_url"": ""/uploads/assets/asset_040.jpg"", ""alt_text"": ""Asset Group 040""}","{""brand"": ""Brand_40"", ""model"": ""Model_40"", ""year"": 2024, ""specifications"": {""cpu"": ""Intel i4"", ""ram"": ""8GB"", ""storage"": ""256GB SSD""}}","{""tags"": [""tag40"", ""asset"", ""group""], ""priority"": ""medium"", ""usage_type"": ""continuous""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-60""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 041,Intangible assets,Category_041,SubCategory_041,"Description for Asset Group 041, categorized under Category_041.","{""image_url"": ""/uploads/assets/asset_041.jpg"", ""alt_text"": ""Asset Group 041""}","{""brand"": ""Brand_41"", ""model"": ""Model_41"", ""year"": 2025, ""specifications"": {""cpu"": ""Intel i5"", ""ram"": ""12GB"", ""storage"": ""384GB SSD""}}","{""tags"": [""tag41"", ""asset"", ""group""], ""priority"": ""critical"", ""usage_type"": ""passive""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-61""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 042,Fixed assets,Category_042,SubCategory_042,"Description for Asset Group 042, categorized under Category_042.","{""image_url"": ""/uploads/assets/asset_042.jpg"", ""alt_text"": ""Asset Group 042""}","{""brand"": ""Brand_42"", ""model"": ""Model_42"", ""year"": 2020, ""specifications"": {""cpu"": ""Intel i6"", ""ram"": ""16GB"", ""storage"": ""512GB SSD""}}","{""tags"": [""tag42"", ""asset"", ""group""], ""priority"": ""critical"", ""usage_type"": ""continuous""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-62""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 043,Fixed assets,Category_043,SubCategory_043,"Description for Asset Group 043, categorized under Category_043.","{""image_url"": ""/uploads/assets/asset_043.jpg"", ""alt_text"": ""Asset Group 043""}","{""brand"": ""Brand_43"", ""model"": ""Model_43"", ""year"": 2021, ""specifications"": {""cpu"": ""Intel i7"", ""ram"": ""20GB"", ""storage"": ""640GB SSD""}}","{""tags"": [""tag43"", ""asset"", ""group""], ""priority"": ""critical"", ""usage_type"": ""passive""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-63""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
