name,asset_category_name,description,is_active
Sub Category 246,Category 46,Description for sub category 246,1
Sub Category 247,Category 47,Description for sub category 247,1
Sub Category 248,Category 48,Description for sub category 248,1
Sub Category 249,Category 49,Description for sub category 249,1
Sub Category 250,Category 50,Description for sub category 250,1
Sub Category 251,Category 51,Description for sub category 251,1
Sub Category 252,Category 52,Description for sub category 252,1
Sub Category 253,Category 53,Description for sub category 253,1
Sub Category 254,Category 54,Description for sub category 254,1
Sub Category 255,Category 55,Description for sub category 255,1
Sub Category 256,Category 56,Description for sub category 256,1
Sub Category 257,Category 57,Description for sub category 257,1
Sub Category 258,Category 58,Description for sub category 258,1
Sub Category 259,Category 59,Description for sub category 259,1
Sub Category 260,Category 60,Description for sub category 260,1
Sub Category 261,Category 61,Description for sub category 261,1
Sub Category 262,Category 62,Description for sub category 262,1
Sub Category 263,Category 63,Description for sub category 263,1
Sub Category 264,Category 64,Description for sub category 264,1
Sub Category 265,Category 65,Description for sub category 265,1
Sub Category 266,Category 66,Description for sub category 266,1
Sub Category 267,Category 67,Description for sub category 267,1
Sub Category 268,Category 68,Description for sub category 268,1
Sub Category 269,Category 69,Description for sub category 269,1
Sub Category 270,Category 70,Description for sub category 270,1
Sub Category 271,Category 71,Description for sub category 271,1
Sub Category 272,Category 72,Description for sub category 272,1
Sub Category 273,Category 73,Description for sub category 273,1
Sub Category 274,Category 74,Description for sub category 274,1
Sub Category 275,Category 75,Description for sub category 275,1
Sub Category 276,Category 76,Description for sub category 276,1
Sub Category 277,Category 77,Description for sub category 277,1
Sub Category 278,Category 78,Description for sub category 278,1
Sub Category 279,Category 79,Description for sub category 279,1
Sub Category 280,Category 80,Description for sub category 280,1
Sub Category 281,Category 81,Description for sub category 281,1
Sub Category 282,Category 82,Description for sub category 282,1
Sub Category 283,Category 83,Description for sub category 283,1
Sub Category 284,Category 84,Description for sub category 284,1
Sub Category 285,Category 85,Description for sub category 285,1
Sub Category 286,Category 86,Description for sub category 286,1
Sub Category 287,Category 87,Description for sub category 287,1
Sub Category 288,Category 88,Description for sub category 288,1
Sub Category 289,Category 89,Description for sub category 289,1
Sub Category 290,Category 90,Description for sub category 290,1
Sub Category 291,Category 91,Description for sub category 291,1
Sub Category 292,Category 92,Description for sub category 292,1
Sub Category 293,Category 93,Description for sub category 293,1
Sub Category 294,Category 94,Description for sub category 294,1
Sub Category 295,Category 95,Description for sub category 295,1
Sub Category 296,Category 96,Description for sub category 296,1
Sub Category 297,Category 97,Description for sub category 297,1
Sub Category 298,Category 98,Description for sub category 298,1
Sub Category 299,Category 99,Description for sub category 299,1
Sub Category 300,Category 100,Description for sub category 300,1
Sub Category 301,Category 1,Description for sub category 301,1
Sub Category 302,Category 2,Description for sub category 302,1
Sub Category 303,Category 3,Description for sub category 303,1
Sub Category 304,Category 4,Description for sub category 304,1
Sub Category 305,Category 5,Description for sub category 305,1
Sub Category 306,Category 6,Description for sub category 306,1
Sub Category 307,Category 7,Description for sub category 307,1
Sub Category 308,Category 8,Description for sub category 308,1
Sub Category 309,Category 9,Description for sub category 309,1
Sub Category 310,Category 10,Description for sub category 310,1
Sub Category 311,Category 11,Description for sub category 311,1
Sub Category 312,Category 12,Description for sub category 312,1
Sub Category 313,Category 13,Description for sub category 313,1
Sub Category 314,Category 14,Description for sub category 314,1
Sub Category 315,Category 15,Description for sub category 315,1
Sub Category 316,Category 16,Description for sub category 316,1
Sub Category 317,Category 17,Description for sub category 317,1
Sub Category 318,Category 18,Description for sub category 318,1
Sub Category 319,Category 19,Description for sub category 319,1
Sub Category 320,Category 20,Description for sub category 320,1
Sub Category 321,Category 21,Description for sub category 321,1
Sub Category 322,Category 22,Description for sub category 322,1
Sub Category 323,Category 23,Description for sub category 323,1
Sub Category 324,Category 24,Description for sub category 324,1
Sub Category 325,Category 25,Description for sub category 325,1
Sub Category 326,Category 26,Description for sub category 326,1
Sub Category 327,Category 27,Description for sub category 327,1
Sub Category 328,Category 28,Description for sub category 328,1
Sub Category 329,Category 29,Description for sub category 329,1
Sub Category 330,Category 30,Description for sub category 330,1
Sub Category 331,Category 31,Description for sub category 331,1
Sub Category 332,Category 32,Description for sub category 332,1
Sub Category 333,Category 33,Description for sub category 333,1
Sub Category 334,Category 34,Description for sub category 334,1
Sub Category 335,Category 35,Description for sub category 335,1
Sub Category 336,Category 36,Description for sub category 336,1
Sub Category 337,Category 37,Description for sub category 337,1
Sub Category 338,Category 38,Description for sub category 338,1
Sub Category 339,Category 39,Description for sub category 339,1
Sub Category 340,Category 40,Description for sub category 340,1
Sub Category 341,Category 41,Description for sub category 341,1
Sub Category 342,Category 42,Description for sub category 342,1
Sub Category 343,Category 43,Description for sub category 343,1
Sub Category 344,Category 44,Description for sub category 344,1
Sub Category 345,Category 45,Description for sub category 345,1
Sub Category 346,Category 46,Description for sub category 346,1
Sub Category 347,Category 47,Description for sub category 347,1
Sub Category 348,Category 48,Description for sub category 348,1
Sub Category 349,Category 49,Description for sub category 349,1
Sub Category 350,Category 50,Description for sub category 350,1
Sub Category 351,Category 51,Description for sub category 351,1
Sub Category 352,Category 52,Description for sub category 352,1
Sub Category 353,Category 53,Description for sub category 353,1
Sub Category 354,Category 54,Description for sub category 354,1
Sub Category 355,Category 55,Description for sub category 355,1
Sub Category 356,Category 56,Description for sub category 356,1
Sub Category 357,Category 57,Description for sub category 357,1
Sub Category 358,Category 58,Description for sub category 358,1
Sub Category 359,Category 59,Description for sub category 359,1
Sub Category 360,Category 60,Description for sub category 360,1
Sub Category 361,Category 61,Description for sub category 361,1
Sub Category 362,Category 62,Description for sub category 362,1
Sub Category 363,Category 63,Description for sub category 363,1
Sub Category 364,Category 64,Description for sub category 364,1
Sub Category 365,Category 65,Description for sub category 365,1
Sub Category 366,Category 66,Description for sub category 366,1
Sub Category 367,Category 67,Description for sub category 367,1
Sub Category 368,Category 68,Description for sub category 368,1
Sub Category 369,Category 69,Description for sub category 369,1
Sub Category 370,Category 70,Description for sub category 370,1
Sub Category 371,Category 71,Description for sub category 371,1
Sub Category 372,Category 72,Description for sub category 372,1
Sub Category 373,Category 73,Description for sub category 373,1
Sub Category 374,Category 74,Description for sub category 374,1
Sub Category 375,Category 75,Description for sub category 375,1
Sub Category 376,Category 76,Description for sub category 376,1
Sub Category 377,Category 77,Description for sub category 377,1
Sub Category 378,Category 78,Description for sub category 378,1
Sub Category 379,Category 79,Description for sub category 379,1
Sub Category 380,Category 80,Description for sub category 380,1
Sub Category 381,Category 81,Description for sub category 381,1
Sub Category 382,Category 82,Description for sub category 382,1
Sub Category 383,Category 83,Description for sub category 383,1
Sub Category 384,Category 84,Description for sub category 384,1
Sub Category 385,Category 85,Description for sub category 385,1
Sub Category 386,Category 86,Description for sub category 386,1
Sub Category 387,Category 87,Description for sub category 387,1
Sub Category 388,Category 88,Description for sub category 388,1
Sub Category 389,Category 89,Description for sub category 389,1
Sub Category 390,Category 90,Description for sub category 390,1
Sub Category 391,Category 91,Description for sub category 391,1
Sub Category 392,Category 92,Description for sub category 392,1
Sub Category 393,Category 93,Description for sub category 393,1
Sub Category 394,Category 94,Description for sub category 394,1
Sub Category 395,Category 95,Description for sub category 395,1
Sub Category 396,Category 96,Description for sub category 396,1
Sub Category 397,Category 97,Description for sub category 397,1
Sub Category 398,Category 98,Description for sub category 398,1
Sub Category 399,Category 99,Description for sub category 399,1
Sub Category 400,Category 100,Description for sub category 400,1
Sub Category 401,Category 1,Description for sub category 401,1
Sub Category 402,Category 2,Description for sub category 402,1
Sub Category 403,Category 3,Description for sub category 403,1
Sub Category 404,Category 4,Description for sub category 404,1
Sub Category 405,Category 5,Description for sub category 405,1
Sub Category 406,Category 6,Description for sub category 406,1
Sub Category 407,Category 7,Description for sub category 407,1
Sub Category 408,Category 8,Description for sub category 408,1
Sub Category 409,Category 9,Description for sub category 409,1
Sub Category 410,Category 10,Description for sub category 410,1
Sub Category 411,Category 11,Description for sub category 411,1
Sub Category 412,Category 12,Description for sub category 412,1
Sub Category 413,Category 13,Description for sub category 413,1
Sub Category 414,Category 14,Description for sub category 414,1
Sub Category 415,Category 15,Description for sub category 415,1
Sub Category 416,Category 16,Description for sub category 416,1
Sub Category 417,Category 17,Description for sub category 417,1
Sub Category 418,Category 18,Description for sub category 418,1
Sub Category 419,Category 19,Description for sub category 419,1
Sub Category 420,Category 20,Description for sub category 420,1
Sub Category 421,Category 21,Description for sub category 421,1
Sub Category 422,Category 22,Description for sub category 422,1
Sub Category 423,Category 23,Description for sub category 423,1
Sub Category 424,Category 24,Description for sub category 424,1
Sub Category 425,Category 25,Description for sub category 425,1
Sub Category 426,Category 26,Description for sub category 426,1
Sub Category 427,Category 27,Description for sub category 427,1
Sub Category 428,Category 28,Description for sub category 428,1
Sub Category 429,Category 29,Description for sub category 429,1
Sub Category 430,Category 30,Description for sub category 430,1
Sub Category 431,Category 31,Description for sub category 431,1
Sub Category 432,Category 32,Description for sub category 432,1
Sub Category 433,Category 33,Description for sub category 433,1
Sub Category 434,Category 34,Description for sub category 434,1
Sub Category 435,Category 35,Description for sub category 435,1
Sub Category 436,Category 36,Description for sub category 436,1
Sub Category 437,Category 37,Description for sub category 437,1
Sub Category 438,Category 38,Description for sub category 438,1
Sub Category 439,Category 39,Description for sub category 439,1
Sub Category 440,Category 40,Description for sub category 440,1
Sub Category 441,Category 41,Description for sub category 441,1
Sub Category 442,Category 42,Description for sub category 442,1
Sub Category 443,Category 43,Description for sub category 443,1
Sub Category 444,Category 44,Description for sub category 444,1
Sub Category 445,Category 45,Description for sub category 445,1
Sub Category 446,Category 46,Description for sub category 446,1
Sub Category 447,Category 47,Description for sub category 447,1
Sub Category 448,Category 48,Description for sub category 448,1
Sub Category 449,Category 49,Description for sub category 449,1
Sub Category 450,Category 50,Description for sub category 450,1
Sub Category 451,Category 51,Description for sub category 451,1
Sub Category 452,Category 52,Description for sub category 452,1
Sub Category 453,Category 53,Description for sub category 453,1
Sub Category 454,Category 54,Description for sub category 454,1
Sub Category 455,Category 55,Description for sub category 455,1
Sub Category 456,Category 56,Description for sub category 456,1
Sub Category 457,Category 57,Description for sub category 457,1
Sub Category 458,Category 58,Description for sub category 458,1
Sub Category 459,Category 59,Description for sub category 459,1
Sub Category 460,Category 60,Description for sub category 460,1
Sub Category 461,Category 61,Description for sub category 461,1
Sub Category 462,Category 62,Description for sub category 462,1
Sub Category 463,Category 63,Description for sub category 463,1
Sub Category 464,Category 64,Description for sub category 464,1
Sub Category 465,Category 65,Description for sub category 465,1
Sub Category 466,Category 66,Description for sub category 466,1
Sub Category 467,Category 67,Description for sub category 467,1
Sub Category 468,Category 68,Description for sub category 468,1
Sub Category 469,Category 69,Description for sub category 469,1
Sub Category 470,Category 70,Description for sub category 470,1
Sub Category 471,Category 71,Description for sub category 471,1
Sub Category 472,Category 72,Description for sub category 472,1
Sub Category 473,Category 73,Description for sub category 473,1
Sub Category 474,Category 74,Description for sub category 474,1
Sub Category 475,Category 75,Description for sub category 475,1
Sub Category 476,Category 76,Description for sub category 476,1
Sub Category 477,Category 77,Description for sub category 477,1
Sub Category 478,Category 78,Description for sub category 478,1
Sub Category 479,Category 79,Description for sub category 479,1
Sub Category 480,Category 80,Description for sub category 480,1
Sub Category 481,Category 81,Description for sub category 481,1
Sub Category 482,Category 82,Description for sub category 482,1
Sub Category 483,Category 83,Description for sub category 483,1
Sub Category 484,Category 84,Description for sub category 484,1
Sub Category 485,Category 85,Description for sub category 485,1
Sub Category 486,Category 86,Description for sub category 486,1
Sub Category 487,Category 87,Description for sub category 487,1
Sub Category 488,Category 88,Description for sub category 488,1
Sub Category 489,Category 89,Description for sub category 489,1
Sub Category 490,Category 90,Description for sub category 490,1
Sub Category 491,Category 91,Description for sub category 491,1
Sub Category 492,Category 92,Description for sub category 492,1
Sub Category 493,Category 93,Description for sub category 493,1
Sub Category 494,Category 94,Description for sub category 494,1
Sub Category 495,Category 95,Description for sub category 495,1
Sub Category 496,Category 96,Description for sub category 496,1
Sub Category 497,Category 97,Description for sub category 497,1
Sub Category 498,Category 98,Description for sub category 498,1
Sub Category 499,Category 99,Description for sub category 499,1
Sub Category 500,Category 100,Description for sub category 500,1
Sub Category 501,Category 1,Description for sub category 501,1
Sub Category 502,Category 2,Description for sub category 502,1
Sub Category 503,Category 3,Description for sub category 503,1
Sub Category 504,Category 4,Description for sub category 504,1
Sub Category 505,Category 5,Description for sub category 505,1
Sub Category 506,Category 6,Description for sub category 506,1
Sub Category 507,Category 7,Description for sub category 507,1
Sub Category 508,Category 8,Description for sub category 508,1
Sub Category 509,Category 9,Description for sub category 509,1
Sub Category 510,Category 10,Description for sub category 510,1
Sub Category 511,Category 11,Description for sub category 511,1
Sub Category 512,Category 12,Description for sub category 512,1
Sub Category 513,Category 13,Description for sub category 513,1
Sub Category 514,Category 14,Description for sub category 514,1
Sub Category 515,Category 15,Description for sub category 515,1
Sub Category 516,Category 16,Description for sub category 516,1
Sub Category 517,Category 17,Description for sub category 517,1
Sub Category 518,Category 18,Description for sub category 518,1
Sub Category 519,Category 19,Description for sub category 519,1
Sub Category 520,Category 20,Description for sub category 520,1
Sub Category 521,Category 21,Description for sub category 521,1
Sub Category 522,Category 22,Description for sub category 522,1
Sub Category 523,Category 23,Description for sub category 523,1
Sub Category 524,Category 24,Description for sub category 524,1
Sub Category 525,Category 25,Description for sub category 525,1
Sub Category 526,Category 26,Description for sub category 526,1
Sub Category 527,Category 27,Description for sub category 527,1
Sub Category 528,Category 28,Description for sub category 528,1
Sub Category 529,Category 29,Description for sub category 529,1
Sub Category 530,Category 30,Description for sub category 530,1
Sub Category 531,Category 31,Description for sub category 531,1
Sub Category 532,Category 32,Description for sub category 532,1
Sub Category 533,Category 33,Description for sub category 533,1
Sub Category 534,Category 34,Description for sub category 534,1
Sub Category 535,Category 35,Description for sub category 535,1
Sub Category 536,Category 36,Description for sub category 536,1
Sub Category 537,Category 37,Description for sub category 537,1
Sub Category 538,Category 38,Description for sub category 538,1
Sub Category 539,Category 39,Description for sub category 539,1
Sub Category 540,Category 40,Description for sub category 540,1
Sub Category 541,Category 41,Description for sub category 541,1
Sub Category 542,Category 42,Description for sub category 542,1
Sub Category 543,Category 43,Description for sub category 543,1
Sub Category 544,Category 44,Description for sub category 544,1
Sub Category 545,Category 45,Description for sub category 545,1
Sub Category 546,Category 46,Description for sub category 546,1
Sub Category 547,Category 47,Description for sub category 547,1
Sub Category 548,Category 48,Description for sub category 548,1
Sub Category 549,Category 49,Description for sub category 549,1
Sub Category 550,Category 50,Description for sub category 550,1
Sub Category 551,Category 51,Description for sub category 551,1
Sub Category 552,Category 52,Description for sub category 552,1
Sub Category 553,Category 53,Description for sub category 553,1
Sub Category 554,Category 54,Description for sub category 554,1
Sub Category 555,Category 55,Description for sub category 555,1
Sub Category 556,Category 56,Description for sub category 556,1
Sub Category 557,Category 57,Description for sub category 557,1
Sub Category 558,Category 58,Description for sub category 558,1
Sub Category 559,Category 59,Description for sub category 559,1
Sub Category 560,Category 60,Description for sub category 560,1
Sub Category 561,Category 61,Description for sub category 561,1
Sub Category 562,Category 62,Description for sub category 562,1
Sub Category 563,Category 63,Description for sub category 563,1
Sub Category 564,Category 64,Description for sub category 564,1
Sub Category 565,Category 65,Description for sub category 565,1
Sub Category 566,Category 66,Description for sub category 566,1
Sub Category 567,Category 67,Description for sub category 567,1
Sub Category 568,Category 68,Description for sub category 568,1
Sub Category 569,Category 69,Description for sub category 569,1
Sub Category 570,Category 70,Description for sub category 570,1
Sub Category 571,Category 71,Description for sub category 571,1
Sub Category 572,Category 72,Description for sub category 572,1
Sub Category 573,Category 73,Description for sub category 573,1
Sub Category 574,Category 74,Description for sub category 574,1
Sub Category 575,Category 75,Description for sub category 575,1
Sub Category 576,Category 76,Description for sub category 576,1
Sub Category 577,Category 77,Description for sub category 577,1
Sub Category 578,Category 78,Description for sub category 578,1
Sub Category 579,Category 79,Description for sub category 579,1
Sub Category 580,Category 80,Description for sub category 580,1
Sub Category 581,Category 81,Description for sub category 581,1
Sub Category 582,Category 82,Description for sub category 582,1
